Messwert-Nr.;ESC-Werte;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;106.34;0.00;0.00;-0.99;0.02
1;0.00;106.34;0.00;-0.00;-1.04;0.02
2;0.00;106.34;0.00;-0.00;-1.04;0.02
3;0.00;106.34;0.00;-0.01;-1.04;0.02
4;0.00;106.34;-0.03;-0.00;-1.03;0.02
5;0.00;106.34;0.00;-0.01;-1.03;0.02
6;0.00;106.34;0.00;-0.00;-1.04;0.02
7;0.00;106.34;0.00;-0.00;-1.04;0.02
8;0.00;106.34;0.00;-0.00;-1.03;0.02
9;0.00;106.34;0.00;-0.01;-1.04;0.02
10;0.00;106.34;0.00;-0.00;-1.04;0.02
11;0.00;106.34;0.00;-0.01;-1.04;0.02
12;0.00;106.34;0.00;-0.01;-1.03;0.02
13;0.00;106.34;0.00;-0.01;-1.04;0.02
14;0.00;106.34;0.00;-0.01;-1.04;0.03
15;0.00;106.34;0.00;-0.01;-1.04;0.02
16;0.00;106.34;0.00;-0.01;-1.04;0.03
17;0.00;106.34;0.00;-0.00;-1.04;0.02
18;40.00;106.34;0.00;-0.01;-1.04;0.02
19;45.00;106.34;0.00;-0.00;-1.03;0.02
20;50.00;106.34;-0.03;-0.00;-1.04;0.02
21;55.00;106.34;0.00;-0.01;-1.04;0.02
22;60.00;106.34;0.04;0.00;-1.03;0.02
23;65.00;106.34;0.81;-0.02;-1.02;-0.06
24;70.00;106.34;0.89;0.06;-0.89;0.20
25;75.00;106.34;1.54;0.00;-1.08;0.04
26;80.00;106.34;1.10;0.04;-0.91;-0.12
27;85.00;106.34;0.73;-0.01;-0.95;0.05
28;90.00;106.34;0.89;-0.08;-0.98;-0.06
29;95.00;106.34;2.03;0.20;-1.05;0.11
30;100.00;106.34;4.47;-0.12;-1.06;0.04
31;105.00;106.34;5.82;-0.59;-1.53;0.03
32;110.00;106.34;6.14;-0.00;0.03;0.09
33;115.00;106.34;5.57;0.04;-0.87;-0.12
34;115.00;106.34;5.78;0.22;-0.71;-0.28
35;120.00;106.34;6.67;-0.70;-1.50;0.43
36;125.00;106.34;7.69;0.84;-0.81;0.13
37;130.00;106.34;7.77;0.17;-1.17;-0.00
38;135.00;106.34;8.50;1.00;-1.54;-0.50
39;140.00;106.34;8.66;0.07;-1.21;0.21
40;140.00;106.34;9.03;0.99;-0.97;-0.31
41;135.00;106.34;10.45;0.06;-0.88;0.30
42;130.00;106.34;8.66;0.25;-1.38;-0.13
43;125.00;106.34;7.32;-1.59;-0.85;0.49
44;120.00;106.34;5.69;1.29;-0.82;0.12
45;115.00;106.34;5.41;-1.41;-0.89;-0.64
46;110.00;106.34;4.72;-0.51;-0.55;0.27
47;105.00;106.34;2.03;-1.01;-0.60;0.05
48;100.00;106.34;1.62;0.67;-0.92;-0.04
49;95.00;106.34;1.46;0.86;-1.26;0.06
50;90.00;106.34;1.18;0.57;-1.44;-0.28
51;85.00;106.34;1.10;-0.77;-1.03;-0.06
52;80.00;106.34;1.01;0.31;-1.35;-0.38
53;80.00;106.34;0.73;0.93;-0.73;0.34
54;75.00;106.34;0.73;-0.65;-1.37;-0.30
55;70.00;106.34;0.57;-0.00;-1.15;0.70
