Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des μC in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;-16777216.00;0.59;0.04;-0.02;-1.05;0.01
1;0.00;0.00;0.60;0.08;-0.01;-1.04;0.01
2;0.00;-16777216.00;0.55;0.12;-0.01;-1.04;0.01
3;0.00;-16777216.00;0.50;0.12;-0.01;-1.04;0.00
4;0.00;0.00;0.49;0.12;-0.01;-1.04;0.01
5;0.00;-16777216.00;0.45;0.12;-0.01;-1.04;0.01
6;0.00;-16777216.00;0.59;0.12;-0.01;-1.04;0.00
7;0.00;0.00;0.58;0.12;-0.01;-1.04;0.01
8;0.00;-16777216.00;0.37;0.12;-0.01;-1.04;0.01
9;0.00;-16777216.00;0.27;0.12;-0.01;-1.05;0.01
10;0.00;0.00;0.41;0.12;-0.01;-1.04;0.01
11;0.00;-16777216.00;0.51;0.12;-0.01;-1.04;0.01
12;0.00;-16777216.00;0.38;0.12;-0.00;-1.03;0.01
13;0.00;0.00;0.54;0.12;-0.01;-1.04;0.01
14;0.00;-16777216.00;0.54;0.12;-0.01;-1.04;0.01
15;0.00;-16777216.00;0.45;0.12;-0.01;-1.04;0.01
16;0.00;0.00;0.53;0.12;-0.01;-1.04;0.01
17;0.00;-16777216.00;0.45;0.12;-0.01;-1.03;0.01
18;0.00;-16777216.00;0.44;0.12;-0.01;-1.04;0.01
19;0.00;0.00;0.35;0.12;-0.01;-1.04;0.01
20;0.00;-16777216.00;0.44;0.12;-0.01;-1.04;0.01
21;0.00;-16777216.00;0.51;0.12;-0.01;-1.04;0.01
22;0.00;0.00;0.46;0.12;-0.01;-1.04;0.01
23;0.00;-16777216.00;0.48;0.12;-0.01;-1.04;0.02
24;0.00;-16777216.00;0.41;0.12;-0.01;-1.04;0.02
25;0.00;0.00;0.51;0.12;-0.01;-1.04;0.01
26;0.00;-16777216.00;0.36;0.12;-0.01;-1.04;0.01
27;0.00;-16777216.00;0.52;0.12;-0.01;-1.04;0.01
28;0.00;0.00;0.70;0.12;-0.01;-1.04;0.01
29;0.00;-16777216.00;0.62;0.12;-0.00;-1.04;0.01
30;0.00;-16777216.00;0.44;0.12;-0.01;-1.04;0.01
31;0.00;0.00;0.49;0.12;-0.01;-1.04;0.01
32;0.00;-16777216.00;0.45;0.12;-0.01;-1.04;0.01
33;0.00;0.00;0.34;0.12;-0.01;-1.04;0.01
34;0.00;0.00;0.41;0.12;-0.01;-1.04;0.01
35;0.00;-16777216.00;0.57;0.12;-0.01;-1.04;0.01
36;0.00;0.00;0.64;0.12;-0.00;-1.04;0.02
37;0.00;0.00;0.53;0.12;-0.01;-1.04;0.00
38;0.00;-16777216.00;0.31;0.12;-0.01;-1.04;0.01
39;0.00;0.00;0.35;0.12;-0.01;-1.04;0.02
40;0.00;0.00;0.48;0.12;-0.01;-1.04;0.01
41;0.00;-16777216.00;0.46;0.12;-0.01;-1.05;0.01
42;0.00;0.00;0.58;0.12;-0.01;-1.04;0.01
43;0.00;0.00;0.52;0.12;-0.01;-1.04;0.01
44;0.00;-16777216.00;0.41;0.12;-0.01;-1.04;0.00
45;0.00;0.00;0.32;0.12;-0.01;-1.04;0.01
46;0.00;0.00;0.38;0.12;-0.00;-1.04;0.01
47;0.00;-16777216.00;0.42;0.12;-0.01;-1.03;0.01
48;0.00;0.00;0.57;0.12;-0.01;-1.04;0.01
49;0.00;0.00;0.59;0.12;-0.01;-1.04;0.00
50;0.00;-16777216.00;0.55;0.12;-0.01;-1.04;0.01
51;0.00;0.00;0.53;0.12;-0.01;-1.04;0.02
52;0.00;0.00;0.53;0.12;-0.01;-1.04;0.02
53;0.00;-16777216.00;0.53;0.12;-0.01;-1.05;0.01
54;0.00;0.00;0.64;0.12;-0.01;-1.04;0.01
55;0.00;0.00;0.70;0.12;-0.01;-1.04;0.01
56;0.00;-16777216.00;0.60;0.12;-0.01;-1.04;0.01
57;0.00;0.00;0.41;0.12;-0.01;-1.04;0.01
58;0.00;0.00;0.50;0.12;-0.01;-1.05;0.01
59;0.00;-16777216.00;0.59;0.12;-0.01;-1.04;0.01
60;0.00;0.00;0.45;0.12;-0.01;-1.04;0.01
61;0.00;0.00;0.51;0.12;-0.01;-1.04;0.01
62;0.00;-16777216.00;0.50;0.12;-0.01;-1.04;0.01
63;0.00;0.00;0.43;0.12;-0.01;-1.04;0.01
64;0.00;0.00;0.36;0.12;-0.01;-1.04;0.02
65;0.00;-16777216.00;0.43;0.12;-0.01;-1.04;0.01
66;0.00;0.00;0.55;0.12;-0.01;-1.04;0.01
67;0.00;0.00;0.45;0.12;-0.01;-1.04;0.00
68;0.00;-16777216.00;0.45;0.12;-0.01;-1.04;0.02
69;0.00;0.00;0.48;0.12;-0.01;-1.04;0.01
70;0.00;0.00;0.38;0.12;-0.01;-1.04;0.01
71;0.00;-16777216.00;0.45;0.12;-0.00;-1.04;0.01
72;0.00;0.00;0.49;0.12;-0.01;-1.04;0.02
73;0.00;0.00;0.27;0.12;-0.01;-1.04;0.01
74;0.00;-16777216.00;0.39;0.12;-0.01;-1.04;0.01
75;0.00;0.00;0.54;0.12;-0.01;-1.04;0.01
76;0.00;0.00;0.40;0.12;-0.01;-1.04;0.01
77;0.00;-16777216.00;0.39;0.12;-0.01;-1.04;0.01
78;0.00;0.00;0.40;0.12;-0.01;-1.04;0.01
79;40.00;0.00;0.36;0.32;-0.03;-1.11;0.19
80;45.00;-16777216.00;2.05;1.62;0.05;-1.20;0.12
81;50.00;0.00;18.27;2.56;0.34;-0.70;0.07
82;55.00;0.00;77.03;3.25;0.43;-0.51;0.02
83;60.00;-16777216.00;148.13;3.13;0.15;-1.24;0.12
84;65.00;0.00;187.64;3.62;0.76;-0.79;0.02
85;70.00;0.00;216.20;4.15;0.80;-1.45;0.00
86;75.00;-16777216.00;242.63;4.84;-0.04;-0.52;0.05
87;80.00;0.00;273.16;5.57;0.27;-0.95;0.01
88;85.00;-16777216.00;306.46;6.75;-1.58;-1.05;0.09
89;90.00;-16777216.00;337.43;8.01;-1.26;-1.01;0.07
90;95.00;0.00;367.75;9.03;-1.54;-1.02;0.04
