Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;10542032.00;0.45;0.00;-0.00;-1.00;0.00
1;0.00;10628156.00;0.30;0.00;-0.00;-1.00;0.00
2;0.00;10714232.00;0.36;0.00;-0.00;-1.00;0.00
3;9.00;10800304.00;0.37;0.00;-0.00;-0.99;0.00
4;9.00;10886416.00;0.59;0.00;-0.00;-1.00;0.00
5;9.00;10972508.00;0.63;0.00;-0.00;-1.00;0.00
6;9.00;11058612.00;0.48;0.00;-0.00;-1.00;0.00
7;9.00;11144776.00;0.56;0.04;-0.00;-1.00;0.00
8;9.00;11230828.00;0.69;0.04;0.00;-0.99;0.00
9;9.00;11316944.00;0.58;0.04;-0.00;-1.00;0.00
10;9.00;11402996.00;0.59;0.00;-0.00;-1.00;0.00
11;9.00;11489100.00;0.50;0.00;-0.00;-1.00;0.00
12;19.00;11575196.00;0.44;0.00;-0.00;-1.00;0.00
13;19.00;11661296.00;0.36;0.00;-0.00;-1.00;0.00
14;19.00;11747396.00;0.60;0.00;-0.00;-1.00;0.00
15;19.00;11833488.00;0.59;0.00;-0.00;-1.00;0.00
16;29.00;11919592.00;0.46;0.00;-0.00;-1.00;0.00
17;29.00;12005700.00;0.48;0.00;0.00;-1.00;0.00
18;29.00;12091776.00;0.40;0.00;0.00;-1.00;0.00
19;29.00;12177872.00;0.26;0.00;0.00;-1.00;0.00
20;29.00;12263980.00;0.34;0.00;0.00;-1.00;0.00
21;39.00;12350160.00;0.49;0.04;-0.00;-1.00;0.00
22;39.00;12436192.00;0.61;0.04;0.00;-0.99;0.00
23;39.00;12522296.00;0.48;0.04;0.00;-1.00;0.00
24;39.00;12608364.00;0.32;0.00;-0.00;-1.00;0.00
25;39.00;12694448.00;0.53;0.00;0.00;-1.00;0.00
