Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0;11415244.00;1;0.24;0.00;-1.00;0.00
1;0;11501376.00;0;0.20;-0.00;-1.00;0.00
2;0;11587492.00;0;0.20;0.00;-1.00;0.00
3;0;11673616.00;0;0.20;-0.00;-1.00;0.00
4;0;11759740.00;0;0.24;0.00;-1.00;0.00
5;0;11845840.00;1;0.24;0.00;-1.00;0.00
6;0;11931944.00;1;0.24;0.00;-0.99;0.00
7;0;12018052.00;1;0.24;0.00;-1.00;0.00
8;0;12104172.00;1;0.24;0.00;-0.99;0.00
9;0;12190292.00;1;0.24;-0.00;-1.00;0.00
10;0;12276408.00;0;0.24;0.00;-1.00;0.00
11;0;12362532.00;1;0.24;-0.00;-1.00;0.01
12;0;12448648.00;1;0.24;0.00;-1.00;0.00
13;0;12534760.00;0;0.24;0.00;-1.00;0.00
14;0;12620884.00;0;0.24;0.00;-1.00;0.00
15;0;12707000.00;0;0.24;-0.00;-1.00;0.00
16;0;12793120.00;0;0.24;0.00;-1.00;0.00
17;9;12879224.00;0;0.24;-0.00;-0.99;0.00
18;19;12965328.00;0;0.24;-0.00;-1.00;0.00
19;29;13051448.00;1;0.44;-0.00;-1.05;0.17
20;39;13137604.00;1;1.30;-0.17;-1.10;0.05
21;49;13223720.00;10;5.08;0.56;-1.75;0.22
22;59;13309832.00;88;8.42;-0.56;-1.36;0.25
23;69;13395936.00;306;10.53;0.19;-0.18;0.08
24;79;13482052.00;454;10.05;0.97;-0.91;0.04
25;89;13568184.00;483;9.80;-1.48;-1.01;0.22
26;100;13654276.00;484;10.00;0.90;-0.19;0.03
27;100;13740396.00;483;10.05;-0.21;-1.18;0.29
28;89;13826508.00;482;10.13;-1.01;-0.48;0.02
29;79;13912620.00;481;10.09;1.57;-0.74;0.02
30;69;13998736.00;480;10.21;-1.28;-1.25;0.16
31;59;14084836.00;480;10.05;0.58;-0.11;0.02
32;49;14170960.00;479;9.39;-1.08;-1.40;0.02
33;39;14257060.00;469;6.34;-0.05;-0.38;0.08
34;29;14343184.00;396;3.17;0.17;-1.29;0.07
35;19;14429276.00;238;0.69;-0.09;-1.03;0.07
36;9;14515388.00;122;0.28;-0.12;-1.02;0.01
37;0;14601484.00;68;0.24;-0.09;-0.99;0.00
38;0;14687584.00;41;0.24;-0.06;-0.96;0.00
39;0;14773720.00;26;0.24;-0.08;-1.02;0.01
40;0;14859852.00;17;0.24;0.08;-1.01;0.02
41;0;14945940.00;12;0.24;0.06;-1.00;0.01
42;0;15032036.00;9;0.24;0.05;-0.99;0.02
43;0;15118168.00;6;0.24;0.01;-0.99;0.02
44;0;15204272.00;5;0.24;-0.01;-1.00;0.00
45;0;15290384.00;3;0.24;-0.01;-1.00;0.00
46;0;15376488.00;3;0.24;-0.00;-1.00;0.00
47;0;15462604.00;2;0.24;0.00;-1.00;0.02
48;0;15548708.00;2;0.24;-0.00;-0.99;0.01
49;0;15634816.00;1;0.24;0.00;-1.01;0.03
50;0;15720936.00;1;0.24;0.00;-1.01;0.02
51;0;15807048.00;0;0.24;-0.00;-1.00;0.02
52;0;15893152.00;0;0.24;-0.00;-0.99;0.01
53;0;15979272.00;0;0.24;0.00;-1.00;0.02
54;0;16065384.00;0;0.24;0.00;-1.01;0.00
55;0;16151476.00;0;0.24;0.00;-0.99;0.00
56;0;16237608.00;0;0.24;-0.00;-1.00;0.00
