Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;100;3414444.00;0;0.73;-0.10;-1.04;0.08
1;100;3500572.00;2;4.19;0.45;-0.67;0.02
2;100;3586692.00;25;7.81;-1.46;-1.37;0.03
3;100;3672788.00;162;10.49;0.93;-0.84;0.00
4;100;3758908.00;388;10.13;-1.57;-0.93;0.44
5;100;3845032.00;476;9.96;0.93;-0.03;0.07
6;100;3931128.00;486;9.76;0.56;-0.91;0.23
7;100;4017252.00;486;9.84;-1.31;-0.90;0.30
8;100;4103360.00;485;9.48;1.24;-0.51;0.15
9;100;4189464.00;484;9.60;-0.38;-0.99;0.22
10;100;4275580.00;482;10.00;-1.00;-0.40;0.07
11;100;4361696.00;482;10.17;1.56;-0.40;0.10
12;100;4447824.00;482;10.13;-0.93;-1.30;0.09
13;100;4533912.00;482;9.80;-0.40;0.03;0.02
14;100;4620040.00;482;9.96;1.12;-1.05;0.05
15;100;4706160.00;481;10.17;-1.61;-1.16;0.45
16;100;4792260.00;480;10.29;1.26;-0.36;0.12
17;100;4878372.00;482;10.09;-0.05;-1.25;0.11
18;100;4964480.00;481;10.29;-0.51;-0.61;0.10
19;100;5050588.00;480;10.25;1.36;-0.74;0.15
20;100;5136724.00;480;10.25;-1.59;-1.08;0.29
21;100;5222804.00;480;9.84;0.80;-0.39;0.41
22;100;5308928.00;480;9.60;0.23;-1.04;0.23
23;100;5395044.00;480;10.05;-0.43;-0.33;0.17
24;100;5481160.00;480;9.96;1.36;-0.67;0.20
25;100;5567264.00;479;10.17;-1.47;-0.61;0.13
26;100;5653376.00;478;9.68;1.13;-0.42;0.29
27;100;5739484.00;478;9.64;-0.82;-1.14;0.21
28;100;5825588.00;476;9.72;0.01;-0.38;0.13
29;100;5911708.00;475;10.05;0.59;-0.94;0.04
30;100;5997820.00;475;10.49;-1.54;-0.82;0.19
31;100;6083940.00;473;10.66;1.48;-0.49;0.24
32;100;6170048.00;477;10.57;-1.09;-1.23;0.36
33;100;6256148.00;481;10.41;0.94;-0.51;0.06
34;100;6342264.00;479;10.00;0.07;-0.76;0.30
35;100;6428388.00;475;9.68;-0.46;-0.46;0.05
36;100;6514484.00;474;9.56;1.20;-0.83;0.47
37;100;6600600.00;473;9.60;-1.16;-0.77;0.16
38;100;6686728.00;474;9.92;1.41;-0.52;0.25
39;100;6772840.00;474;10.09;-1.22;-1.38;0.30
40;100;6858940.00;476;10.05;0.77;-0.44;0.27
41;100;6945056.00;477;9.96;0.09;-0.93;0.31
42;100;7031160.00;474;9.92;-0.28;-0.10;0.00
43;100;7117268.00;472;9.72;0.98;-0.63;0.33
44;100;7203396.00;472;9.80;-1.06;-0.58;0.08
45;100;7289500.00;474;9.72;1.48;-0.68;0.05
46;100;7375616.00;476;10.05;-1.47;-0.90;0.24
47;100;7461732.00;478;10.00;1.51;-0.71;0.26
48;100;7547856.00;475;9.80;-0.95;-1.26;0.04
49;100;7633964.00;474;9.72;1.01;-0.63;0.02
50;100;7720072.00;474;9.48;-0.10;-1.09;0.27
51;100;7806188.00;477;9.76;0.08;-0.39;0.35
52;100;7892284.00;476;9.80;0.58;-0.88;0.33
53;100;7978404.00;474;10.21;-1.16;-0.47;0.17
54;100;8064540.00;471;10.21;1.26;-0.52;0.20
55;100;8150628.00;473;10.13;-1.51;-0.79;0.10
56;100;8236732.00;476;9.96;1.63;-0.61;0.18
57;100;8322848.00;476;10.21;-1.46;-0.91;0.24
58;100;8408952.00;476;10.53;1.38;-0.70;0.38
59;100;8495072.00;475;10.78;-1.46;-1.13;0.25
60;100;8581180.00;473;10.33;1.19;-0.17;0.01
61;100;8667300.00;470;10.13;-0.98;-1.22;0.23
62;100;8753380.00;469;9.84;0.78;-0.06;0.14
63;100;8839488.00;471;9.96;-0.62;-1.30;0.10
64;100;8925580.00;472;9.92;0.70;0.04;0.00
65;100;9011692.00;473;9.52;-0.19;-0.77;0.43
66;100;9097816.00;475;9.88;0.09;-0.30;0.16
67;100;9183916.00;476;9.84;-0.06;-1.24;0.39
68;100;9270040.00;474;10.13;-0.10;-0.14;0.18
69;100;9356152.00;474;10.00;0.10;-0.85;0.27
70;100;9442252.00;474;10.21;-0.48;-0.49;0.16
71;100;9528392.00;472;10.25;0.52;-0.70;0.32
72;100;9614496.00;472;9.80;-0.67;-0.03;0.11
73;100;9700612.00;474;9.80;1.00;-0.90;0.28
74;100;9786732.00;473;9.88;-0.90;-0.62;0.24
75;100;9872868.00;471;10.21;1.02;-1.03;0.18
76;100;9958972.00;474;10.05;-0.88;-0.64;0.34
77;100;10045092.00;476;10.17;0.99;-0.97;0.05
78;100;10131204.00;479;9.80;-0.33;-0.53;0.00
79;100;10217312.00;478;9.88;0.83;-1.00;0.48
80;100;10303416.00;476;9.80;-0.49;0.09;0.36
81;100;10389540.00;477;10.05;0.39;-0.88;0.57
82;100;10475648.00;478;10.17;-0.19;0.18;0.28
83;100;10561776.00;474;10.13;-0.07;-1.35;0.34
84;100;10647888.00;470;10.17;0.00;-0.29;0.11
85;100;10734012.00;470;10.00;0.26;-1.08;0.36
86;100;10820136.00;472;9.64;0.23;-0.02;0.08
87;100;10906288.00;475;9.84;0.02;-1.03;0.16
88;100;10992376.00;477;9.88;0.47;-0.47;0.03
89;100;11078520.00;475;10.29;-0.05;-1.36;0.17
90;100;11164616.00;474;10.45;0.28;-0.26;0.22
91;100;11250752.00;473;10.41;-0.17;-1.02;0.42
92;100;11336864.00;476;10.09;0.25;-0.01;0.11
93;100;11422996.00;476;9.92;-0.64;-1.25;0.21
94;100;11509100.00;473;9.88;0.43;-0.50;0.12
95;100;11595220.00;471;10.13;-0.16;-1.24;0.08
96;100;11681324.00;469;9.76;0.53;-0.36;0.01
97;100;11767460.00;468;9.60;-0.41;-1.04;0.00
98;100;11853568.00;470;9.72;0.68;-0.31;0.13
99;100;11939696.00;470;9.56;-0.61;-1.36;0.02
100;100;12025808.00;471;9.48;0.78;-0.13;0.32
101;100;12111952.00;473;9.19;-1.13;-1.37;0.28
102;100;12198052.00;472;9.52;0.73;-0.46;0.37
103;100;12284200.00;470;9.72;-1.49;-1.35;0.32
104;100;12370304.00;469;9.92;1.06;-0.63;0.23
105;100;12456440.00;468;9.76;-1.47;-1.06;0.12
106;100;12542548.00;468;9.92;1.52;-0.56;0.08
107;100;12628668.00;468;9.96;-1.49;-0.94;0.25
108;100;12714796.00;468;10.41;1.37;-0.77;0.16
109;100;12800912.00;471;10.49;-1.25;-0.48;0.15
110;100;12887048.00;472;10.45;1.11;-0.78;0.19
111;100;12973152.00;472;10.13;-0.31;-0.30;0.35
112;100;13059292.00;474;9.60;0.44;-1.07;0.65
113;100;13145424.00;473;9.68;0.58;-0.11;0.14
114;100;13231528.00;473;9.80;-0.73;-0.99;0.14
115;100;13317652.00;473;9.88;0.96;-0.43;0.50
116;100;13403796.00;473;9.52;-1.40;-1.19;0.40
117;100;13489920.00;474;9.68;1.32;-0.78;0.28
118;100;13576056.00;474;10.21;-1.38;-0.83;0.13
119;100;13662176.00;473;10.78;1.19;-0.96;0.14
120;100;13748300.00;472;10.62;-0.72;-0.49;0.28
121;100;13834420.00;472;10.45;0.77;-0.96;0.40
122;100;13920548.00;472;10.25;-0.00;-0.34;0.17
123;100;14006684.00;471;10.49;-0.20;-0.99;0.34
124;100;14092804.00;472;10.62;0.88;-0.19;0.32
125;100;14178940.00;477;10.74;-1.38;-1.27;0.36
126;100;14265072.00;478;10.33;1.32;-1.09;0.51
127;100;14351184.00;480;10.21;-1.07;-0.91;0.17
128;100;14437292.00;477;10.21;0.89;-0.66;0.45
129;100;14523420.00;474;10.37;-0.00;-0.28;0.31
130;100;14609564.00;474;9.92;-0.22;-1.06;0.45
131;100;14695660.00;474;9.84;0.87;-0.72;0.32
132;100;14781804.00;475;9.80;-1.49;-1.00;0.39
133;100;14867920.00;476;9.92;1.40;-1.08;0.24
134;100;14954028.00;476;9.52;-0.95;-0.54;0.01
135;100;15040152.00;473;9.60;0.76;-0.85;0.47
136;100;15126276.00;473;9.96;-0.24;-0.22;0.35
137;100;15212416.00;473;9.84;-0.31;-0.75;0.38
138;100;15298528.00;472;9.96;0.60;-0.32;0.36
139;100;15384664.00;471;10.13;-1.00;-1.14;0.25
140;100;15470780.00;470;10.62;1.15;-0.63;0.49
141;100;15556928.00;467;10.09;-1.52;-1.05;0.06
142;100;15643020.00;465;9.96;1.58;-0.59;0.12
143;100;15729148.00;466;9.80;-1.37;-0.79;0.05
144;0;15815280.00;469;6.87;-0.62;-1.00;0.08
145;0;15901396.00;416;3.45;0.33;-1.09;0.10
146;0;15987544.00;239;0.24;0.33;-1.13;0.04
147;0;16073636.00;112;0.24;0.09;-1.01;0.02
148;0;16159752.00;61;0.24;0.14;-0.96;0.03
149;0;16245896.00;38;0.24;-0.09;-1.02;0.05
150;0;16331996.00;25;0.24;0.17;-0.98;0.04
151;0;16418116.00;17;0.24;0.19;-0.98;0.00
152;0;16504244.00;11;0.24;0.06;-0.99;0.03
153;0;16590364.00;7;0.24;-0.03;-0.99;0.00
154;0;16676508.00;5;0.24;-0.04;-1.00;0.01
155;0;16762628.00;4;0.24;-0.01;-1.01;0.01
156;0;16848752.00;2;0.24;0.01;-1.00;0.00
157;0;16934852.00;2;0.24;0.00;-0.99;0.00
158;0;17020992.00;1;0.24;0.00;-0.99;0.01
159;0;17107104.00;1;0.24;0.00;-1.00;0.04
160;0;17193228.00;0;0.24;0.00;-0.99;0.03
161;0;17279344.00;0;0.24;-0.00;-1.00;0.00
162;0;17365472.00;-0;0.24;0.00;-1.00;0.01
163;0;17451592.00;-0;0.24;-0.00;-1.00;0.00
