Messwert-Nr.;ESC-Werte;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;0.51;0.00;-0.00;-1.04;-0.00
1;0.00;0.49;0.00;-0.00;-1.03;-0.00
2;0.00;0.69;-0.00;-0.00;-1.04;-0.00
3;0.00;0.65;-0.00;-0.00;-1.04;-0.01
4;0.00;0.65;-0.00;-0.00;-1.03;-0.00
5;0.00;0.80;-0.00;-0.01;-1.04;-0.00
6;0.00;0.70;-0.00;-0.00;-1.04;-0.00
7;0.00;0.61;-0.00;-0.00;-1.03;-0.00
8;0.00;0.55;-0.00;-0.00;-1.04;-0.00
9;0.00;0.45;-0.00;-0.01;-1.03;-0.00
10;0.00;0.48;-0.01;-0.00;-1.04;-0.01
11;0.00;0.55;-0.01;0.00;-1.03;-0.00
12;0.00;0.81;-0.01;-0.00;-1.04;-0.00
13;0.00;0.91;-0.01;-0.00;-1.04;-0.01
14;0.00;0.68;-0.02;-0.00;-1.04;-0.00
15;0.00;0.57;-0.02;-0.00;-1.04;-0.01
16;0.00;0.44;-0.03;-0.00;-1.04;-0.01
17;0.00;0.40;-0.03;-0.00;-1.04;-0.00
18;0.00;0.62;-0.03;0.00;-1.03;-0.00
19;0.00;0.58;-0.03;-0.01;-1.04;-0.01
20;0.00;0.49;-0.03;-0.00;-1.04;-0.01
21;0.00;0.47;-0.03;-0.00;-1.04;-0.00
22;0.00;0.69;-0.03;-0.00;-1.03;-0.00
23;0.00;0.68;-0.03;-0.00;-1.03;-0.00
24;0.00;0.47;-0.03;-0.00;-1.04;-0.00
25;0.00;0.49;-0.03;-0.00;-1.04;-0.01
26;0.00;0.42;-0.03;-0.00;-1.04;-0.01
27;0.00;0.47;-0.03;-0.00;-1.04;-0.00
28;0.00;0.55;-0.03;-0.00;-1.04;-0.01
29;0.00;0.52;-0.03;-0.00;-1.03;-0.00
30;0.00;0.67;-0.03;-0.00;-1.04;-0.01
31;0.00;0.64;-0.03;-0.00;-1.03;-0.01
32;0.00;0.61;-0.03;-0.00;-1.03;-0.00
33;0.00;0.51;-0.03;-0.00;-1.04;-0.00
34;0.00;0.55;-0.03;-0.00;-1.04;-0.01
35;0.00;0.63;-0.03;-0.00;-1.04;-0.00
36;0.00;0.47;-0.03;-0.00;-1.03;-0.00
37;0.00;0.53;-0.03;-0.00;-1.04;-0.00
38;0.00;0.72;-0.03;-0.01;-1.03;-0.01
39;0.00;0.64;-0.03;-0.01;-1.04;-0.01
40;0.00;0.62;-0.03;-0.00;-1.03;-0.00
41;0.00;0.64;-0.02;-0.00;-1.05;-0.00
42;0.00;0.79;-0.02;-0.00;-1.05;-0.01
43;0.00;0.66;-0.02;-0.00;-1.04;-0.00
44;0.00;0.72;-0.02;-0.00;-1.04;-0.01
45;0.00;0.82;-0.02;-0.00;-1.04;-0.00
46;0.00;0.68;-0.01;0.00;-1.04;-0.00
47;0.00;0.65;-0.01;-0.00;-1.03;-0.01
48;0.00;0.50;-0.01;-0.00;-1.04;-0.00
49;0.00;0.61;-0.01;-0.01;-1.05;-0.00
50;0.00;0.60;-0.02;-0.00;-1.04;-0.00
51;0.00;0.38;-0.01;-0.00;-1.04;-0.00
52;0.00;0.46;-0.01;-0.01;-1.04;-0.01
53;0.00;0.67;-0.01;-0.01;-1.04;-0.00
54;0.00;0.57;-0.02;-0.00;-1.03;-0.00
55;0.00;0.33;-0.02;-0.00;-1.04;-0.00
56;0.00;0.30;-0.02;-0.00;-1.04;-0.01
57;0.00;0.32;-0.02;-0.01;-1.04;-0.00
58;0.00;0.57;-0.02;-0.00;-1.04;-0.01
59;0.00;0.88;-0.02;-0.00;-1.04;-0.00
60;0.00;0.81;-0.02;-0.00;-1.04;-0.01
61;0.00;0.70;-0.02;-0.00;-1.03;-0.00
62;0.00;0.66;-0.02;-0.00;-1.04;-0.01
63;0.00;0.65;-0.02;-0.00;-1.03;-0.00
64;0.00;0.68;-0.03;-0.00;-1.04;-0.00
65;0.00;0.68;-0.03;-0.00;-1.04;-0.00
66;0.00;0.58;-0.03;-0.00;-1.04;-0.01
67;0.00;0.61;-0.03;-0.00;-1.03;-0.01
68;0.00;0.67;-0.03;-0.00;-1.04;-0.01
69;0.00;0.70;-0.04;-0.00;-1.04;-0.01
70;0.00;0.63;-0.04;-0.00;-1.04;-0.00
71;0.00;0.68;-0.04;-0.00;-1.04;-0.01
72;40.00;0.65;-0.05;-0.00;-1.04;-0.00
73;45.00;0.63;-0.05;-0.00;-1.04;-0.00
74;50.00;0.50;-0.04;0.01;-1.04;0.07
75;55.00;0.40;-0.02;-0.01;-0.96;0.10
76;60.00;1.53;-0.01;0.03;-1.06;0.00
77;65.00;6.12;-0.01;0.11;-1.01;-0.02
78;70.00;14.00;0.01;0.00;-1.02;0.00
79;75.00;25.79;0.03;0.02;-1.10;-0.04
80;80.00;41.97;0.07;-0.00;-1.06;0.06
81;85.00;60.52;0.12;0.26;-1.10;0.03
82;90.00;78.36;0.18;0.01;-0.88;-0.07
83;95.00;98.46;0.26;0.06;-0.81;-0.37
84;100.00;123.01;0.35;0.10;-0.63;-0.38
85;105.00;146.94;0.47;-0.24;-1.64;-0.18
86;110.00;171.87;0.61;0.07;-1.50;0.06
87;115.00;201.05;0.77;-0.29;-0.77;-0.08
88;120.00;229.81;0.97;-0.97;-0.76;0.50
89;125.00;257.77;1.20;1.16;-0.91;-0.06
90;130.00;293.17;1.45;0.90;-1.27;-0.10
91;135.00;332.06;1.71;-0.18;-0.71;-0.01
92;140.00;362.65;1.99;-0.62;-0.76;0.04
93;140.00;395.76;2.29;0.53;-0.77;-0.06
94;135.00;414.40;2.59;0.59;-1.07;-0.05
95;130.00;415.05;2.81;-1.52;-1.20;0.06
96;125.00;396.59;3.02;-1.02;-1.03;0.00
97;120.00;364.18;3.19;-0.71;-0.69;0.03
98;115.00;331.26;3.35;-0.83;-1.09;-0.00
99;110.00;301.49;3.48;0.06;-0.74;0.02
100;105.00;268.92;3.57;-0.62;-1.03;-0.08
101;100.00;233.31;3.66;0.11;-0.27;0.16
102;95.00;205.86;3.72;-0.08;-0.97;-0.41
103;90.00;177.24;3.78;0.11;-0.62;-0.04
104;85.00;149.44;3.81;0.32;-1.07;-0.05
105;80.00;127.53;3.83;-0.13;-1.18;0.05
106;75.00;108.55;3.84;-0.05;-1.15;0.03
107;70.00;88.37;3.85;-0.20;-1.16;-0.11
108;65.00;73.35;3.84;0.02;-0.93;-0.01
109;60.00;61.58;3.82;-0.07;-1.04;0.05
110;55.00;50.49;3.79;0.06;-1.04;0.01
111;50.00;40.38;3.74;0.04;-1.05;-0.00
112;45.00;31.27;3.68;0.03;-1.08;-0.02
113;0.00;22.74;3.60;0.06;-1.05;-0.04
114;0.00;15.82;3.51;0.06;-1.04;-0.03
115;0.00;10.98;3.39;0.08;-1.06;-0.02
116;0.00;7.68;3.26;-0.08;-1.04;0.01
117;0.00;5.28;3.10;-0.05;-1.04;0.02
118;0.00;3.50;2.89;-0.00;-1.03;-0.00
119;0.00;2.30;2.67;0.01;-1.05;-0.04
120;0.00;1.50;2.42;0.00;-1.03;-0.03
121;0.00;0.88;2.16;-0.01;-1.05;0.00
122;0.00;0.61;1.89;-0.01;-1.05;0.06
123;0.00;0.25;1.59;-0.00;-1.03;0.02
124;0.00;-0.04;1.29;0.00;-1.03;-0.00
125;0.00;-0.18;1.08;0.00;-1.04;-0.03
126;0.00;-0.18;0.86;-0.01;-1.04;-0.02
127;0.00;-0.25;0.70;-0.01;-1.05;-0.04
128;0.00;-0.20;0.55;-0.00;-1.05;-0.01
129;0.00;-0.21;0.42;-0.00;-1.04;-0.00
130;0.00;-0.28;0.33;0.00;-1.03;-0.00
131;0.00;-0.09;0.24;-0.01;-1.04;-0.00
132;0.00;0.08;0.18;0.00;-1.03;0.00
133;0.00;0.02;0.13;-0.00;-1.04;-0.00
134;0.00;0.17;0.09;-0.01;-1.04;-0.01
135;0.00;0.17;0.06;-0.00;-1.04;-0.00
136;0.00;-0.02;0.04;-0.00;-1.04;-0.00
137;0.00;-0.04;0.03;-0.00;-1.04;-0.00
138;0.00;-0.10;0.01;-0.00;-1.04;-0.00
139;0.00;-0.19;0.01;-0.00;-1.04;-0.00
140;0.00;-0.05;0.00;-0.00;-1.04;-0.01
141;0.00;-0.11;0.00;-0.00;-1.04;-0.01
142;0.00;-0.05;0.00;-0.00;-1.03;-0.00
143;0.00;-0.14;0.00;-0.00;-1.04;-0.00
144;0.00;-0.07;0.00;-0.00;-1.04;-0.01
145;0.00;0.19;0.00;-0.00;-1.03;-0.01
146;0.00;0.18;0.00;-0.00;-1.04;-0.00
147;0.00;0.12;0.00;-0.00;-1.04;-0.00
148;0.00;0.06;0.00;-0.01;-1.04;-0.01
149;0.00;0.31;0.00;-0.00;-1.04;-0.01
150;0.00;0.33;0.00;-0.00;-1.04;-0.01
151;0.00;0.36;0.00;-0.01;-1.04;-0.01
152;0.00;0.18;0.00;-0.00;-1.04;-0.01
153;0.00;0.22;0.00;0.00;-1.04;-0.00
154;0.00;0.21;0.00;-0.00;-1.04;-0.01
155;0.00;0.21;0.00;-0.00;-1.04;-0.00
156;0.00;0.16;0.00;-0.00;-1.03;-0.00
157;0.00;0.06;0.00;-0.01;-1.04;-0.00
158;0.00;-0.05;0.00;-0.01;-1.04;-0.01
159;0.00;0.08;0.00;-0.00;-1.03;-0.00
160;0.00;0.07;0.00;-0.01;-1.04;-0.01
161;0.00;0.11;0.00;-0.01;-1.04;-0.01
162;0.00;0.18;0.00;-0.00;-1.03;-0.00
163;0.00;0.20;0.00;-0.00;-1.04;-0.00
164;0.00;0.04;0.00;-0.00;-1.03;-0.00
165;0.00;0.15;0.00;-0.00;-1.03;-0.00
166;0.00;0.14;0.00;-0.00;-1.04;-0.00
167;0.00;0.11;0.00;-0.00;-1.04;-0.00
168;0.00;0.12;0.00;-0.00;-1.03;-0.00
169;0.00;0.00;0.00;-0.00;-1.04;-0.01
170;0.00;0.22;0.00;-0.00;-1.04;-0.01
171;0.00;0.45;0.00;-0.00;-1.03;-0.00
172;0.00;0.27;0.00;-0.00;-1.04;-0.00
173;0.00;0.03;0.00;-0.00;-1.04;-0.01
174;0.00;0.00;0.00;-0.00;-1.03;-0.00
175;0.00;0.15;0.00;-0.00;-1.03;-0.00
176;0.00;0.05;0.00;-0.00;-1.04;-0.00
177;0.00;-0.08;0.00;-0.01;-1.04;-0.00
178;0.00;0.03;0.00;-0.00;-1.04;-0.00
179;0.00;0.06;0.00;-0.00;-1.04;-0.01
