Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;1993.00;0.82;0.12;-0.01;-1.04;0.02
1;0.00;2080.00;0.68;0.12;-0.01;-1.04;0.01
2;0.00;2166.00;0.64;0.12;-0.01;-1.04;0.01
3;0.00;2252.00;0.58;0.12;-0.01;-1.04;0.01
4;0.00;2338.00;0.50;0.12;-0.01;-1.04;0.02
5;0.00;2424.00;0.67;0.12;-0.01;-1.03;0.01
6;0.00;2510.00;0.72;0.12;-0.01;-1.04;0.02
7;0.00;2596.00;0.60;0.12;-0.01;-1.04;0.01
8;0.00;2682.00;0.75;0.12;-0.01;-1.04;0.01
9;0.00;2768.00;0.81;0.12;-0.02;-1.05;0.03
10;0.00;2854.00;0.58;0.12;-0.02;-1.04;0.01
11;0.00;2940.00;0.62;0.12;-0.00;-1.03;0.01
12;0.00;3027.00;0.59;0.12;-0.01;-1.04;0.01
13;0.00;3113.00;0.65;0.12;-0.01;-1.04;0.02
14;0.00;3200.00;0.60;0.12;-0.01;-1.04;0.01
15;0.00;3286.00;0.64;0.12;-0.00;-1.03;0.01
16;0.00;3372.00;0.53;0.12;-0.00;-1.04;0.01
17;0.00;3458.00;0.55;0.12;-0.00;-1.03;0.01
18;0.00;3544.00;0.53;0.12;-0.01;-1.04;0.00
19;0.00;3630.00;0.50;0.12;-0.01;-1.03;0.01
20;0.00;3716.00;0.40;0.12;-0.01;-1.04;0.02
21;0.00;3802.00;0.46;0.12;-0.01;-1.04;0.02
22;0.00;3889.00;0.67;0.12;-0.01;-1.04;0.01
23;0.00;3975.00;0.48;0.12;-0.01;-1.04;0.01
24;0.00;4061.00;0.56;0.12;-0.01;-1.04;0.01
25;0.00;4147.00;0.64;0.12;-0.01;-1.04;0.02
26;0.00;4233.00;0.65;0.12;-0.01;-1.04;0.01
27;0.00;4319.00;0.69;0.12;-0.01;-1.04;0.02
28;0.00;4405.00;0.56;0.12;-0.01;-1.04;0.01
29;0.00;4491.00;0.49;0.12;-0.01;-1.04;0.01
30;0.00;4577.00;0.60;0.12;-0.01;-1.04;0.02
31;0.00;4663.00;0.68;0.12;-0.00;-1.03;0.01
32;0.00;4749.00;0.59;0.12;-0.01;-1.04;0.01
33;0.00;4836.00;0.62;0.12;-0.01;-1.04;0.01
34;0.00;4922.00;0.51;0.12;-0.01;-1.04;0.01
35;0.00;5008.00;0.41;0.12;-0.01;-1.04;0.02
36;0.00;5094.00;0.51;0.16;-0.00;-1.04;0.01
37;0.00;5180.00;0.62;0.16;-0.01;-1.04;0.01
38;0.00;5266.00;0.62;0.16;-0.01;-1.04;0.02
39;0.00;5352.00;0.73;0.12;-0.00;-1.04;0.01
