Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;5341576.00;0.73;0.24;-0.00;-1.00;0.00
1;0.00;6374928.00;0.70;0.24;0.00;-1.00;0.00
2;0.00;7408264.00;0.70;0.24;0.00;-0.99;0.00
3;9.00;8441608.00;0.43;0.40;-0.00;-0.92;0.25
4;19.00;10422268.00;42.10;0.97;-0.15;-0.90;0.00
5;29.00;11972348.00;107.24;1.95;0.24;-0.57;0.13
6;39.00;13780748.00;207.77;4.35;0.47;-0.43;0.02
7;49.00;15244704.00;338.81;7.93;-0.78;-1.46;0.42
8;59.00;16881072.00;481.73;9.60;1.55;-0.93;0.45
9;69.00;17828484.00;475.14;10.00;1.51;-0.95;0.20
10;79.00;18259120.00;471.77;9.80;1.55;-0.88;0.43
11;89.00;18603628.00;470.32;9.48;-1.56;-0.94;0.09
12;100.00;19034276.00;475.54;10.41;-1.62;-1.11;0.05
13;100.00;19378804.00;469.43;9.76;1.63;-0.64;0.11
14;89.00;19723324.00;469.57;10.05;-0.95;-0.77;0.09
15;79.00;20067840.00;468.24;10.17;-0.29;-1.04;0.20
16;69.00;20412352.00;470.05;9.80;0.77;-0.69;0.59
17;59.00;20756856.00;471.34;9.60;-1.10;-0.68;0.07
18;49.00;21187488.00;474.83;9.84;0.39;-0.46;0.12
19;39.00;21704256.00;472.59;8.09;0.55;-1.33;0.10
20;29.00;22048792.00;328.56;5.16;0.21;-1.23;0.08
21;19.00;22823932.00;205.85;2.52;-0.00;-0.67;0.00
22;9.00;24115900.00;107.69;1.09;-0.12;-0.98;0.08
23;0.00;25063268.00;43.52;0.48;-0.15;-1.03;0.03
24;0.00;25752284.00;3.76;0.24;0.00;-1.01;0.03
25;0.00;26269044.00;0.78;0.20;-0.00;-1.00;0.02
26;0.00;26785800.00;0.43;0.24;0.00;-1.00;0.00
27;0.00;27302572.00;0.58;0.20;0.00;-1.00;0.00
28;0.00;27819332.00;0.61;0.24;0.00;-1.00;0.01
29;0.00;28336104.00;0.71;0.24;-0.00;-1.00;0.00
30;0.00;28938972.00;0.77;0.24;-0.00;-1.01;0.00
31;0.00;29541840.00;0.75;0.24;-0.00;-1.00;0.01
32;0.00;30058572.00;0.55;0.24;0.00;-1.00;0.00
33;0.00;30489176.00;0.53;0.20;0.00;-1.00;0.00
34;0.00;30661428.00;0.61;0.20;-0.00;-1.00;0.00
35;0.00;30833676.00;0.59;0.20;-0.00;-1.00;0.00
36;0.00;31350388.00;0.55;0.24;0.00;-0.99;0.00
