Messwert-Nr.;Gewicht in g
0;0.17
1;0.19
2;0.4
3;0.06
4;-0.19
5;-0.08
6;-0.03
7;0.33
8;0.25
9;0.2
10;-0.06
11;-0.0
12;0.09
13;0.27
14;0.11
15;-0.1
16;0.03
17;0.08
18;-0.25
19;0.0
20;0.0
21;-0.14
22;-0.09
23;0.05
24;-0.06
25;0.18
26;0.36
27;0.1
28;0.1
29;-0.04
30;-0.02
31;0.17
32;0.02
33;-0.11
34;0.03
35;0.12
36;0.16
37;0.07
38;-0.04
39;0.05
40;0.1
41;0.15
42;0.26
43;-0.01
44;-0.06
45;-0.04
46;-0.1
47;0.09
48;0.3
49;0.04
50;-0.15
51;0.0
52;-0.1
53;-0.15
54;0.08
55;0.0
56;0.33
57;20.49
58;69.22
59;132.16
60;196.34
61;231.12
62;245.01
63;249.48
64;246.34
65;250.23
66;284.87
67;306.55
68;338.57
69;390.03
70;444.92
71;451.21
72;451.38
73;451.22
74;451.28
75;451.47
76;451.38
77;451.54
78;451.42
79;451.07
80;451.02
81;451.59
82;451.45
83;451.21
84;451.11
85;451.18
86;451.48
87;451.45
88;451.21
89;451.5
90;451.63
91;451.29
92;451.25
93;451.37
94;451.24
95;451.41
96;451.67
97;451.56
98;451.4
99;451.29
100;451.04
101;451.24
102;451.58
103;451.39
104;451.35
105;451.61
106;451.62
107;451.69
108;451.72
109;451.43
110;451.48
111;451.26
112;451.36
113;451.38
114;451.33
115;451.34
116;451.35
117;451.45
118;451.44
119;451.01
120;451.02
121;451.14
122;451.48
123;451.53
124;451.23
125;451.39
126;451.47
127;451.16
128;451.26
129;451.29
130;451.46
131;451.52
132;451.39
133;451.34
134;451.16
135;451.13
136;451.11
137;451.24
138;451.05
139;451.19
140;451.45
141;451.69
142;451.69
143;451.36
144;451.3
145;451.37
146;451.25
147;451.52
148;451.29
149;451.35
150;451.44
151;451.41
152;451.48
153;451.27
154;451.16
155;451.13
156;451.22
157;451.45
158;451.59
159;451.44
160;451.25
161;451.18
162;451.24
163;451.24
164;451.17
165;451.55
166;451.56
167;451.23
168;451.24
169;451.23
170;451.39
171;451.41
172;451.25
173;451.3
174;451.33
175;451.52
176;451.22
177;451.15
178;451.02
179;451.07
180;451.41
181;451.42
182;451.2
183;451.26
184;450.9
185;451.05
186;451.59
187;451.33
188;451.52
189;451.15
190;451.16
191;451.46
192;451.38
193;451.34
194;451.22
195;451.2
196;451.4
197;451.52
198;451.56
199;451.39
200;451.41
201;451.41
202;451.22
203;451.07
204;451.12
205;451.42
206;451.38
207;451.37
208;451.37
209;451.44
210;451.2
211;451.14
212;451.03
213;450.63
214;450.85
215;451.15
216;451.33
217;451.21
218;450.75
219;450.71
220;450.96
221;451.0
222;450.62
223;450.55
224;450.68
225;450.86
226;450.71
227;450.81
228;450.88
229;451.03
230;450.78
231;450.62
232;450.76
233;450.91
234;451.02
235;451.02
236;450.66
237;450.31
238;450.26
239;450.68
240;450.73
241;450.85
242;450.84
243;450.85
244;450.75
245;450.79
246;450.94
247;450.88
248;450.9
249;450.65
250;450.78
251;450.88
252;450.62
253;450.55
254;450.55
255;450.49
256;450.77
257;450.79
258;450.67
259;450.61
260;450.36
261;450.26
262;450.51
263;450.53
264;450.5
265;450.34
266;450.6
267;450.53
268;450.3
269;450.54
270;450.53
271;450.67
272;450.53
273;450.62
274;450.47
275;450.38
276;450.33
277;450.47
278;450.45
279;450.55
280;450.6
281;450.32
282;450.39
283;450.23
284;450.55
285;450.58
286;450.4
287;450.38
288;450.4
289;450.27
290;450.56
291;450.55
292;450.26
293;450.42
294;450.6
295;450.45
296;450.31
297;450.26
298;450.49
299;450.45
300;450.36
301;450.31
302;450.27
303;450.29
304;450.37
305;450.55
306;450.52
307;450.51
308;450.46
309;450.54
310;450.55
311;450.53
312;450.58
313;450.61
314;450.72
315;450.62
316;450.44
317;450.35
318;450.29
319;450.43
320;450.7
321;450.5
322;450.05
323;450.25
324;450.4
325;450.46
326;450.65
327;450.6
328;450.6
329;450.53
330;450.33
331;450.48
332;450.8
333;450.93
334;450.71
335;450.31
336;450.4
337;450.17
338;450.18
339;450.44
340;450.18
341;449.99
342;450.18
343;450.12
344;450.2
345;450.18
346;450.16
347;450.33
348;450.24
349;450.33
350;450.36
351;450.25
352;450.61
353;450.41
354;450.14
355;450.23
356;450.44
357;450.51
358;450.38
359;450.39
360;450.54
361;450.44
362;450.43
363;450.1
364;450.09
365;450.28
366;450.67
367;450.55
368;450.32
369;450.55
370;450.58
371;450.24
372;450.37
373;450.6
374;450.53
375;450.41
376;450.27
377;450.35
378;450.63
379;450.54
380;450.4
381;450.0
382;450.11
383;450.29
384;450.43
385;450.41
386;450.29
387;450.52
388;450.68
389;450.5
390;450.46
391;450.53
392;450.18
393;450.25
394;450.4
395;450.42
396;450.58
397;450.55
398;450.71
399;450.45
400;450.14
401;450.3
402;450.3
403;449.93
404;450.18
405;450.38
406;450.45
407;450.31
