Messwert-Nr.;Gewicht in g
0;28.90
1;33.36
2;38.54
3;42.40
4;44.63
5;45.67
6;46.13
7;46.58
8;48.18
9;51.29
10;55.56
11;59.96
12;65.14
13;67.78
14;71.39
15;80.09
16;88.77
17;98.56
18;110.14
19;124.14
20;139.59
21;156.18
22;176.67
23;202.30
24;238.99
25;282.26
26;337.81
27;385.63
28;411.05
29;418.85
30;421.42
31;422.01
32;422.86
33;422.55
34;422.00
35;421.44
36;420.43
37;419.00
38;418.88
39;419.57
40;419.79
41;420.41
42;419.40
43;417.29
44;417.80
45;417.53
46;416.88
47;418.53
48;419.35
49;417.59
50;418.24
51;420.07
52;411.42
53;362.79
54;282.23
55;193.55
56;118.30
57;76.44
58;29.31
59;19.39
60;13.31
61;9.87
62;7.58
63;8.36
64;40.06
65;146.53
66;296.59
67;400.24
68;418.41
69;419.78
70;417.98
71;417.82
72;418.17
73;417.79
74;416.17
75;416.55
76;417.36
77;417.00
78;416.70
79;414.74
80;412.57
81;412.00
82;407.90
83;372.27
84;299.20
85;220.48
86;142.97
87;97.83
88;66.10
89;42.29
90;27.00
91;17.98
92;12.51
93;9.62
94;7.28
95;3.67
96;2.27
97;1.38
98;0.56
99;0.16
100;3.14
101;18.42
102;54.08
103;100.74
104;138.43
105;178.03
106;232.48
107;274.85
108;309.72
109;337.38
110;358.88
111;389.97
112;415.01
113;421.24
114;421.37
115;421.27
116;421.00
117;418.35
118;418.24
119;416.98
120;415.45
121;414.51
122;413.67
123;412.83
124;413.21
125;412.90
126;414.49
127;417.01
128;418.89
129;418.69
130;416.49
131;417.22
132;417.25
133;417.14
134;416.80
135;414.62
136;412.43
137;411.72
138;411.80
139;412.79
140;414.10
141;415.46
142;416.83
143;419.20
144;419.01
145;418.02
146;417.11
147;417.11
148;417.16
149;414.10
150;398.06
151;374.02
152;349.47
153;337.39
154;332.03
155;321.87
156;312.60
157;302.77
158;297.56
159;290.72
160;286.73
161;278.29
162;271.33
163;269.88
164;270.30
165;270.77
166;270.93
167;270.87
168;272.21
169;266.87
170;211.62
171;117.97
172;62.04
173;37.52
174;24.02
175;16.48
176;11.59
177;7.51
178;4.81
179;3.00
180;1.87
181;0.88
182;0.70
183;0.46
184;-0.16
185;-0.42
186;-0.70
187;-0.84
188;-0.85
189;-0.90
190;-0.75
191;-0.85
192;-0.83
193;-1.07
194;-0.80
195;-0.73
196;-0.88
197;-0.89
198;-0.72
199;-0.63
200;-0.55
201;-0.61
202;-0.77
203;-0.87
204;-0.92
205;-0.80
206;-0.71
207;-0.70
208;-0.59
209;-0.67
210;-0.77
211;-0.91
212;-0.90
213;-0.83
214;-0.68
215;-0.41
216;-0.51
217;-0.70
218;-0.80
219;-0.76
220;-0.77
221;-0.70
222;-0.62
223;1.61
224;21.85
225;140.37
226;340.84
227;414.43
228;417.39
229;419.17
230;420.18
231;419.89
232;418.75
233;417.96
234;417.47
235;417.66
236;417.76
237;416.90
238;416.29
239;416.58
240;416.19
241;415.43
242;385.65
243;261.07
244;39.92
245;25.39
246;16.02
247;10.06
248;6.68
249;4.20
250;2.58
251;1.59
252;0.87
253;0.33
254;-0.26
255;-0.45
256;-0.62
257;-0.95
258;-1.03
259;-1.07
260;-1.24
261;-1.20
262;-0.97
263;-1.16
264;-1.04
265;-1.05
266;-1.25
267;-1.27
