Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0;3053392.00;0;0.12;0.00;-1.00;0.00
1;0;3139488.00;0;0.12;0.01;-1.00;0.00
2;0;3225576.00;0;0.16;0.00;-0.99;0.00
3;1;3311684.00;0;0.20;0.00;-1.00;0.00
4;2;3397780.00;0;0.20;0.00;-1.00;0.00
5;3;3483880.00;0;0.16;0.00;-1.00;0.00
6;4;3569996.00;0;0.12;0.00;-1.00;0.00
7;5;3656056.00;0;0.12;0.00;-0.99;0.00
8;6;3742164.00;0;0.12;0.00;-1.00;0.00
9;7;3828288.00;1;0.16;-0.00;-1.00;0.00
10;8;3914372.00;1;0.16;-0.00;-1.00;0.00
11;9;4000464.00;1;0.16;0.00;-1.00;0.00
12;10;4086552.00;0;0.12;-0.00;-1.00;0.00
13;11;4172648.00;0;0.16;0.00;-1.00;0.00
14;12;4258744.00;1;0.20;0.00;-1.00;0.00
15;13;4344844.00;0;0.20;0.00;-1.00;0.00
16;14;4430936.00;0;0.16;-0.00;-1.00;0.00
17;15;4517024.00;0;0.16;0.00;-1.00;0.00
18;16;4603116.00;0;0.16;0.00;-0.99;0.00
19;17;4689232.00;1;0.16;0.00;-1.00;0.00
20;18;4775292.00;1;0.12;0.00;-1.00;0.00
21;19;4861392.00;1;0.12;0.00;-1.00;0.01
22;20;4947480.00;1;0.12;0.00;-1.00;0.00
23;21;5033572.00;1;0.16;0.00;-1.00;0.00
24;22;5119664.00;0;0.16;-0.00;-1.00;0.00
25;23;5205756.00;0;0.20;0.00;-1.00;0.00
26;24;5291860.00;1;0.16;-0.00;-1.00;0.00
27;25;5377952.00;0;0.20;0.00;-1.00;0.00
28;26;5464040.00;0;0.20;0.00;-1.00;0.00
29;27;5550156.00;0;0.24;-0.00;-1.00;0.00
30;28;5636244.00;0;0.32;0.02;-1.02;0.07
31;29;5722336.00;1;0.40;0.01;-1.01;0.00
32;30;5808444.00;3;0.48;0.08;-1.01;0.01
33;31;5894508.00;9;0.52;-0.16;-0.98;0.07
34;32;5980608.00;19;0.65;0.04;-1.02;0.00
35;33;6066696.00;32;0.77;0.11;-0.93;0.02
36;34;6152792.00;46;0.89;-0.10;-0.97;0.02
37;35;6238924.00;59;1.01;0.14;-1.11;0.04
38;36;6325004.00;74;1.26;-0.05;-1.00;0.00
39;37;6411108.00;92;1.50;0.09;-0.80;0.02
40;38;6497192.00;114;1.79;-0.05;-1.16;0.02
41;39;6583288.00;134;1.91;0.26;-0.42;0.11
42;41;6755472.00;172;2.97;0.22;-0.54;0.07
43;42;6841568.00;197;3.62;-0.34;-0.63;0.12
44;42;6927680.00;220;3.74;-0.27;-1.68;0.05
45;43;7013756.00;235;3.94;0.79;-0.52;0.03
46;44;7099852.00;243;4.43;0.88;-0.54;0.03
47;45;7185976.00;266;5.00;-1.06;-1.21;0.02
48;46;7272068.00;297;5.81;-1.45;-1.23;0.03
49;47;7358156.00;331;6.38;-0.05;-1.40;0.13
50;48;7444232.00;360;7.16;0.05;-0.62;0.02
51;49;7530328.00;383;7.85;-0.18;-0.43;0.05
52;50;7616428.00;413;8.66;-0.87;-1.23;0.16
53;51;7702508.00;446;9.27;-0.90;-0.70;0.07
54;52;7788612.00;476;9.92;1.38;-0.57;0.09
55;53;7874704.00;486;10.37;0.14;-1.28;0.12
56;54;7960796.00;487;10.45;-1.16;-0.72;0.11
57;55;8046884.00;487;10.21;0.88;-0.25;0.18
58;56;8132976.00;487;10.21;0.55;-1.26;0.24
59;57;8219064.00;487;10.00;-1.34;-0.94;0.18
60;58;8305160.00;486;10.21;0.73;-0.35;0.09
61;59;8391252.00;485;10.05;0.94;-0.85;0.28
62;60;8477356.00;483;10.13;-1.38;-0.92;0.16
63;61;8563464.00;483;10.09;0.45;-0.25;0.20
64;62;8649612.00;484;10.13;0.80;-1.03;0.21
65;63;8735696.00;485;10.37;-1.27;-0.98;0.11
66;64;8821824.00;485;10.09;0.72;-0.52;0.31
67;65;8907928.00;485;10.17;0.93;-0.84;0.33
68;66;8994068.00;484;9.76;-1.43;-0.88;0.25
69;67;9080160.00;484;9.80;0.86;-0.29;0.32
70;68;9166280.00;484;9.23;0.16;-1.12;0.19
71;69;9252396.00;482;9.76;-1.34;-0.85;0.02
72;70;9338508.00;483;9.76;1.49;-0.72;0.25
73;71;9424624.00;485;10.41;-0.41;-1.13;0.08
74;72;9510732.00;484;10.29;0.05;-0.32;0.24
75;73;9596848.00;486;10.49;1.10;-0.87;0.26
76;74;9682972.00;484;10.17;-1.38;-1.10;0.30
77;75;9769072.00;482;10.00;0.81;-0.36;0.45
78;76;9855192.00;482;9.76;0.62;-0.82;0.25
79;77;9941328.00;480;10.05;-1.28;-0.64;0.14
80;78;10027432.00;480;10.17;1.11;-0.63;0.19
81;79;10113540.00;481;10.41;-0.38;-1.55;0.03
82;80;10199652.00;478;10.49;-0.79;-0.33;0.13
83;81;10285776.00;479;10.57;1.39;-0.70;0.06
84;82;10371908.00;479;10.25;-1.17;-1.14;0.19
85;83;10457984.00;480;10.00;0.53;-0.26;0.05
86;84;10544104.00;478;9.72;0.92;-0.99;0.31
87;85;10630236.00;477;9.80;-1.27;-0.60;0.41
88;86;10716336.00;478;9.48;1.24;-0.44;0.12
89;87;10802456.00;477;9.44;-0.56;-1.22;0.13
90;88;10888552.00;476;9.68;-0.51;-0.41;0.15
91;89;10974684.00;477;9.60;1.33;-0.97;0.23
92;90;11060824.00;478;9.96;-1.43;-1.02;0.29
93;91;11146924.00;478;9.92;0.91;-0.58;0.34
94;92;11233048.00;480;10.09;-0.40;-1.49;0.23
95;93;11319156.00;480;10.13;-0.41;-0.35;0.24
96;94;11405268.00;482;9.92;0.93;-0.62;0.23
97;95;11491396.00;483;10.05;-1.48;-0.91;0.11
98;96;11577520.00;482;9.92;1.50;-0.76;0.33
99;97;11663628.00;483;9.76;-0.78;-1.14;0.14
100;98;11749728.00;481;9.92;0.30;-0.46;0.13
101;100;11835836.00;479;9.92;0.55;-0.97;0.38
102;100;11921964.00;477;10.09;-0.79;-0.53;0.01
103;98;12008068.00;479;9.60;1.50;-0.81;0.10
104;97;12094188.00;480;9.56;-1.40;-0.99;0.21
105;96;12180284.00;479;9.56;0.93;-0.37;0.40
106;95;12266400.00;476;9.84;-0.47;-1.44;0.09
107;94;12352528.00;475;9.96;-0.28;-0.21;0.03
108;93;12438624.00;475;9.72;0.70;-0.66;0.23
109;92;12524752.00;474;9.88;-1.45;-0.80;0.09
110;91;12610888.00;476;9.56;1.35;-0.57;0.05
111;90;12696984.00;476;9.92;-1.23;-1.29;0.15
112;89;12783088.00;474;9.80;0.69;-0.32;0.06
113;88;12869228.00;474;10.25;-0.01;-1.37;0.33
114;87;12955320.00;476;10.41;-0.54;-0.29;0.03
115;86;13041440.00;475;10.57;0.91;-0.86;0.08
116;85;13127568.00;474;10.37;-1.51;-0.81;0.18
117;84;13213660.00;473;10.41;1.33;-0.70;0.04
118;83;13299796.00;469;10.33;-1.09;-1.03;0.03
119;82;13385880.00;469;10.17;0.90;-0.23;0.13
120;81;13472004.00;472;9.76;-0.37;-1.02;0.09
121;80;13558108.00;474;9.48;0.02;-0.02;0.30
122;79;13644212.00;477;9.48;0.63;-0.82;0.44
123;78;13730352.00;480;9.39;-0.62;0.03;0.12
124;77;13816456.00;480;9.68;1.22;-0.69;0.13
125;76;13902576.00;479;9.56;-1.26;-0.65;0.26
126;75;13988688.00;478;10.05;1.49;-0.78;0.18
127;74;14074788.00;478;9.72;-1.52;-0.82;0.25
128;73;14160888.00;479;9.64;1.25;-0.74;0.25
129;72;14247028.00;475;9.27;-1.24;-1.28;0.09
130;71;14333104.00;474;9.64;0.80;-0.53;0.00
131;70;14419244.00;476;10.13;-0.82;-1.13;0.14
132;69;14505348.00;478;10.53;0.49;-0.34;0.07
133;68;14591456.00;478;10.57;-0.40;-0.85;0.28
134;67;14677580.00;477;10.62;0.11;-0.17;0.19
135;66;14763704.00;477;10.21;-0.14;-1.26;0.39
136;65;14849796.00;481;9.76;0.13;-0.34;0.21
137;64;14935916.00;483;9.35;0.03;-1.29;0.43
138;63;15022020.00;482;9.39;0.01;-0.39;0.09
139;62;15108156.00;481;9.68;-0.00;-1.29;0.46
140;61;15194264.00;481;10.00;-0.09;-0.09;0.12
141;60;15280384.00;479;10.33;0.09;-0.89;0.43
142;59;15366492.00;478;10.49;-0.48;-0.32;0.30
143;58;15452620.00;479;10.17;0.43;-0.60;0.47
144;57;15538728.00;481;10.29;-0.61;-0.02;0.25
145;56;15624836.00;479;10.41;0.76;-0.72;0.39
146;55;15710984.00;476;10.45;-0.87;-0.30;0.20
147;54;15797068.00;479;9.96;0.84;-0.84;0.21
148;53;15883188.00;482;9.88;-1.14;-0.75;0.17
149;52;15969308.00;476;10.13;1.17;-0.51;0.36
150;51;16055420.00;471;10.05;-1.03;-0.58;0.08
151;50;16141524.00;473;9.96;1.31;-0.87;0.27
152;49;16227640.00;475;9.19;0.61;-0.46;0.02
153;48;16313760.00;468;8.78;1.30;-0.90;0.13
154;47;16399892.00;436;7.56;-0.87;-1.40;0.04
155;46;16486020.00;402;6.75;-1.15;-1.45;0.00
156;45;16572148.00;373;5.98;-0.57;-0.95;0.03
157;44;16658264.00;348;5.37;0.34;-1.25;0.08
158;43;16744392.00;324;4.84;0.11;-1.37;0.15
159;42;16830520.00;298;4.10;0.44;-0.21;0.02
160;41;16916640.00;269;3.62;-0.20;-0.78;0.14
161;40;17002776.00;244;3.21;0.52;-0.49;0.11
162;39;17088872.00;225;2.92;-0.58;-1.52;0.00
163;38;17175004.00;199;2.48;-0.27;-1.24;0.03
164;37;17261112.00;174;2.11;0.17;-0.55;0.06
165;36;17347228.00;154;1.74;0.32;-1.01;0.00
166;35;17433340.00;138;1.46;-0.07;-1.05;0.05
167;34;17519448.00;120;1.26;0.34;-0.91;0.08
168;32;17691688.00;86;0.85;-0.17;-1.16;0.10
169;31;17777788.00;73;0.69;0.11;-1.02;0.06
170;31;17863904.00;64;0.65;-0.03;-1.00;0.03
171;30;17950048.00;56;0.56;-0.15;-1.03;0.00
172;29;18036136.00;49;0.48;0.15;-0.97;0.02
173;28;18122260.00;42;0.40;0.03;-0.98;0.01
174;27;18208376.00;35;0.32;0.12;-0.97;0.03
175;26;18294496.00;27;0.28;-0.06;-1.00;0.08
176;25;18380604.00;19;0.24;-0.20;-1.01;0.00
177;24;18466720.00;13;0.24;-0.11;-1.00;0.00
178;23;18552848.00;9;0.24;-0.03;-1.00;0.04
179;22;18638960.00;6;0.24;0.03;-1.01;0.03
180;21;18725060.00;4;0.24;0.03;-0.99;0.03
181;20;18811192.00;3;0.24;0.00;-0.99;0.00
182;19;18897288.00;2;0.24;-0.00;-0.99;0.02
183;18;18983428.00;1;0.24;-0.00;-1.00;0.01
184;17;19069508.00;1;0.24;-0.00;-0.98;0.02
185;16;19155632.00;0;0.24;0.01;-1.00;0.04
186;15;19241744.00;-0;0.24;0.00;-1.01;0.03
187;14;19327864.00;-0;0.24;0.00;-1.00;0.02
188;13;19413960.00;-0;0.24;-0.01;-0.99;0.01
189;12;19500076.00;-1;0.24;0.00;-0.99;0.00
190;11;19586212.00;-1;0.24;0.00;-1.00;0.01
191;10;19672360.00;-1;0.24;0.00;-1.01;0.02
192;9;19758444.00;-1;0.24;0.01;-1.00;0.00
