Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0;259805604.00;1;0.24;-0.00;-1.00;0.00
1;100;259891724.00;1;0.56;-0.02;-0.98;0.07
2;100;259977864.00;3;4.80;-0.02;-0.04;0.18
3;0;260063988.00;26;4.76;0.22;-0.84;0.14
4;100;260150096.00;112;7.97;0.11;-0.50;0.33
5;0;260236220.00;194;3.74;0.21;-0.45;0.43
6;100;260322364.00;282;7.64;-0.05;-1.40;0.09
7;0;260408484.00;289;4.06;-0.42;-1.40;0.18
8;100;260494596.00;361;7.85;1.36;-0.55;0.03
9;0;260580708.00;312;3.94;-0.16;-0.55;0.06
10;100;260666848.00;331;7.44;1.15;-0.98;0.01
11;0;260752976.00;269;3.66;-0.52;-1.01;0.45
12;100;260839124.00;317;7.28;1.53;-1.04;0.33
13;0;260925216.00;300;3.82;0.52;-1.01;0.12
14;100;261011320.00;360;7.69;-0.09;-0.63;0.14
15;0;261097456.00;310;4.10;-0.47;-1.54;0.07
16;100;261183568.00;329;8.17;0.47;-0.44;0.23
17;0;261269696.00;267;4.31;-0.07;-1.52;0.07
18;100;261355832.00;314;7.56;1.09;-0.66;0.27
19;0;261441936.00;296;3.45;0.06;-0.64;0.08
20;100;261528076.00;324;7.32;1.19;-0.95;0.20
21;0;261614188.00;265;4.06;-0.46;-0.96;0.31
22;100;261700336.00;315;7.36;1.28;-1.12;0.09
23;0;261786452.00;299;3.49;0.24;-1.27;0.09
24;0;261872588.00;355;3.49;-0.20;-1.00;0.04
25;0;261958704.00;237;0.24;-0.09;-0.93;0.04
26;0;262044820.00;113;0.24;0.08;-1.01;0.01
27;0;262130948.00;62;0.24;-0.06;-1.05;0.04
28;0;262217056.00;38;0.24;0.14;-0.98;0.06
29;0;262303184.00;24;0.24;0.00;-0.98;0.06
30;0;262389324.00;17;0.24;-0.10;-1.01;0.01
31;0;262475456.00;12;0.24;-0.08;-1.00;0.02
32;0;262561580.00;9;0.24;-0.04;-1.01;0.04
33;0;262647692.00;7;0.24;-0.00;-0.99;0.00
34;0;262733848.00;5;0.24;0.01;-0.99;0.02
35;0;262819996.00;4;0.24;0.01;-0.99;0.02
36;0;262906116.00;3;0.24;0.00;-1.01;0.00
37;0;262992232.00;2;0.24;-0.00;-1.00;0.04
38;0;263078352.00;2;0.24;0.00;-0.98;0.04
39;0;263164476.00;2;0.24;0.00;-0.99;0.00
40;0;263250620.00;1;0.24;0.00;-1.00;0.01
41;0;263336736.00;1;0.24;-0.00;-1.00;0.01
42;0;263422876.00;1;0.20;-0.00;-1.00;0.00
43;0;263508980.00;1;0.20;0.00;-1.00;0.00
44;0;263595116.00;1;0.20;0.00;-1.00;0.01
45;0;263681228.00;1;0.24;0.00;-0.99;0.00
46;0;263767364.00;1;0.20;0.00;-1.00;0.00
47;0;263853472.00;1;0.20;0.00;-1.00;0.00
48;0;263939648.00;1;0.20;-0.00;-1.00;0.00
49;0;264025732.00;1;0.24;0.00;-0.99;0.00
50;100;264111868.00;1;0.61;0.03;-0.98;0.12
51;0;264197992.00;2;0.61;0.04;-0.99;0.00
52;100;264284120.00;8;6.34;-0.68;-1.27;0.14
53;0;264370256.00;39;5.98;-0.35;-1.55;0.14
54;100;264456384.00;169;9.80;-1.23;-1.02;0.23
55;0;264542512.00;243;4.06;-0.47;-1.13;0.04
56;100;264628612.00;306;7.81;0.91;-0.92;0.19
57;0;264714760.00;260;3.98;-0.53;-1.05;0.24
58;100;264800892.00;314;7.52;1.40;-1.08;0.17
59;0;264886988.00;300;3.78;0.28;-1.26;0.08
60;100;264973096.00;359;7.40;0.77;-0.28;0.07
61;0;265059244.00;308;3.86;-0.50;-1.09;0.20
62;100;265145352.00;327;7.32;1.25;-0.87;0.11
63;0;265231460.00;265;3.70;-0.57;-1.38;0.24
64;100;265317592.00;314;7.24;1.13;-1.12;0.37
65;0;265403696.00;296;3.78;0.35;-0.77;0.16
66;100;265489808.00;323;7.20;-0.52;-1.25;0.09
67;0;265575928.00;265;3.66;0.52;-0.46;0.16
68;100;265662064.00;316;7.08;-0.69;-1.42;0.08
69;0;265748164.00;300;3.62;-0.77;-1.25;0.00
70;0;265834288.00;354;3.62;0.27;-1.11;0.06
71;0;265920396.00;234;0.16;0.19;-0.90;0.02
72;0;266006492.00;112;0.16;0.11;-1.00;0.02
73;0;266092608.00;62;0.12;0.15;-0.98;0.03
