Messwert-Nr.;ESC-Werte;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;-5.86;0.00;-0.00;-1.04;-0.01
1;0.00;-5.71;0.00;-0.00;-1.04;-0.01
2;0.00;-5.80;0.00;-0.00;-1.03;-0.00
3;0.00;-5.69;0.04;-0.01;-1.05;-0.01
4;0.00;-5.56;0.04;-0.01;-1.04;-0.01
5;0.00;-5.67;0.04;-0.01;-1.04;-0.00
6;0.00;-5.61;0.00;-0.01;-1.04;-0.01
7;0.00;-5.75;0.00;-0.01;-1.04;-0.01
8;0.00;-5.78;0.04;-0.01;-1.04;-0.01
9;0.00;-5.97;0.04;-0.01;-1.04;-0.01
10;0.00;-5.75;0.04;-0.00;-1.04;-0.01
11;0.00;-5.77;0.00;-0.00;-1.04;-0.01
12;0.00;-5.77;0.00;-0.01;-1.04;-0.01
13;0.00;-5.75;0.00;-0.00;-1.03;-0.00
14;0.00;-5.88;0.00;-0.01;-1.04;-0.01
15;0.00;-5.77;0.00;-0.01;-1.04;-0.00
16;0.00;-5.76;0.00;-0.01;-1.04;-0.01
17;0.00;-5.82;0.00;-0.00;-1.04;-0.00
18;0.00;-5.82;0.00;-0.00;-1.03;-0.00
19;0.00;-5.81;0.00;-0.00;-1.04;-0.01
20;0.00;-5.75;0.00;-0.01;-1.04;-0.01
21;0.00;-5.78;0.00;-0.00;-1.04;-0.01
22;0.00;-5.91;0.00;-0.01;-1.04;-0.01
23;0.00;-5.74;0.00;-0.01;-1.04;-0.01
24;0.00;-5.63;0.00;-0.00;-1.04;-0.00
25;0.00;-5.55;0.00;-0.01;-1.04;-0.01
26;0.00;-5.59;0.00;-0.01;-1.04;-0.01
27;0.00;-5.70;0.00;-0.01;-1.04;-0.01
28;0.00;-5.54;0.00;-0.01;-1.04;-0.01
29;0.00;-5.45;0.00;-0.00;-1.03;-0.01
30;0.00;-5.56;0.00;-0.01;-1.04;-0.00
31;0.00;-5.53;0.00;-0.00;-1.04;-0.01
32;0.00;-5.75;0.00;-0.01;-1.04;-0.01
33;0.00;-5.78;0.04;-0.01;-1.04;-0.02
34;0.00;-5.69;0.04;-0.01;-1.04;-0.00
35;0.00;-5.95;0.04;-0.01;-1.04;-0.01
36;0.00;-5.71;0.00;-0.01;-1.04;-0.01
37;0.00;-5.61;0.00;-0.00;-1.03;-0.01
38;0.00;-5.74;0.00;-0.00;-1.03;-0.00
39;0.00;-5.62;0.00;-0.00;-1.04;-0.00
40;0.00;-5.54;0.00;-0.01;-1.04;-0.00
41;0.00;-5.65;0.00;-0.01;-1.04;-0.01
42;0.00;-5.73;0.00;-0.01;-1.04;-0.00
43;0.00;-5.87;0.00;-0.01;-1.04;-0.00
44;0.00;-5.88;0.00;-0.00;-1.04;0.00
45;0.00;-5.97;0.00;-0.00;-1.04;-0.00
46;0.00;-5.89;0.00;-0.01;-1.04;-0.01
47;0.00;-5.64;0.00;-0.01;-1.04;-0.01
48;0.00;-5.87;0.00;-0.00;-1.04;-0.00
49;0.00;-5.84;0.00;-0.00;-1.04;-0.01
50;0.00;-5.68;0.00;-0.00;-1.04;-0.00
51;0.00;-5.72;0.00;-0.00;-1.04;-0.00
52;0.00;-5.74;0.00;-0.00;-1.04;-0.00
53;0.00;-5.61;0.00;-0.01;-1.03;-0.00
54;0.00;-5.60;0.00;-0.01;-1.05;-0.01
55;0.00;-5.76;0.00;-0.01;-1.04;-0.02
56;0.00;-5.80;0.00;-0.01;-1.04;-0.00
57;0.00;-5.67;0.00;-0.00;-1.04;-0.00
58;0.00;-5.52;0.00;-0.00;-1.04;-0.00
59;0.00;-5.65;0.00;-0.01;-1.04;-0.01
60;0.00;-5.89;0.00;-0.00;-1.04;-0.01
61;0.00;-5.84;0.00;-0.00;-1.04;-0.00
62;0.00;-5.68;0.00;-0.00;-1.04;-0.01
63;0.00;-5.77;0.00;-0.00;-1.04;-0.00
64;0.00;-5.78;0.00;-0.01;-1.04;-0.01
65;0.00;-5.81;0.00;-0.01;-1.04;-0.01
66;0.00;-5.71;0.00;-0.01;-1.04;-0.01
67;0.00;-5.59;0.00;-0.00;-1.04;-0.01
68;0.00;-5.58;0.00;-0.01;-1.04;-0.01
69;0.00;-5.45;0.00;-0.01;-1.03;-0.00
70;0.00;-5.70;0.00;-0.00;-1.04;-0.01
71;0.00;-5.65;0.00;-0.01;-1.04;-0.00
72;0.00;-5.66;0.00;-0.01;-1.04;-0.01
73;0.00;-5.76;0.00;-0.00;-1.04;-0.00
74;0.00;-5.74;0.00;-0.01;-1.04;-0.00
75;0.00;-5.61;0.00;-0.01;-1.04;-0.00
76;0.00;-5.72;0.00;-0.01;-1.04;-0.00
77;0.00;-5.63;0.00;-0.00;-1.04;-0.00
78;0.00;-5.57;0.00;-0.01;-1.04;-0.01
79;40.00;-5.64;0.00;-0.01;-1.04;-0.01
80;45.00;-5.55;0.00;-0.00;-1.04;-0.00
81;50.00;-5.61;0.04;0.00;-1.05;-0.01
82;55.00;-5.54;0.16;-0.00;-1.05;0.08
83;60.00;-4.74;0.24;-0.12;-1.04;0.00
84;65.00;-0.30;0.36;-0.10;-1.00;0.01
85;70.00;7.93;0.44;0.10;-0.96;-0.01
86;75.00;20.15;0.57;0.14;-1.11;-0.01
87;80.00;36.13;0.77;-0.24;-1.07;-0.07
88;85.00;54.24;1.10;-0.11;-1.07;-0.00
89;90.00;72.60;1.54;-0.29;-1.25;0.13
90;95.00;93.28;1.99;0.30;-0.66;-0.44
91;100.00;118.02;2.15;0.57;-0.71;0.11
92;105.00;141.66;2.48;-0.44;-1.55;-0.12
93;110.00;166.68;3.05;-0.29;-1.44;-0.23
94;115.00;194.68;3.86;0.55;-0.59;-0.01
95;120.00;220.04;4.60;-0.41;-0.76;0.12
96;125.00;249.03;5.49;1.18;-1.47;-0.13
97;130.00;284.90;6.43;1.09;-1.61;-0.09
98;135.00;314.19;7.28;-0.70;-0.71;-0.06
99;140.00;346.71;7.89;-0.59;-0.78;-0.20
100;140.00;382.86;8.54;0.47;-0.39;-0.11
101;135.00;404.84;8.46;0.37;-0.67;-0.12
102;130.00;405.66;8.09;-1.36;-0.85;0.01
103;125.00;389.95;7.00;-0.97;-0.81;-0.02
104;120.00;358.23;6.02;-0.74;-0.60;0.05
105;115.00;325.95;5.04;-0.76;-1.25;-0.02
106;110.00;296.96;4.43;-0.18;-0.59;0.22
107;105.00;268.05;4.03;-0.84;-1.20;-0.19
108;100.00;234.34;3.42;0.09;-0.33;0.08
109;95.00;204.27;2.72;-0.24;-1.15;-0.31
110;90.00;177.91;2.07;0.13;-0.57;-0.04
111;85.00;148.30;1.50;0.28;-0.81;-0.19
112;80.00;123.72;1.06;-0.09;-1.05;-0.07
113;75.00;104.66;0.81;0.01;-0.87;0.07
114;70.00;87.64;0.61;-0.12;-0.99;-0.05
115;65.00;71.78;0.49;0.10;-1.08;0.07
116;60.00;59.00;0.36;-0.06;-1.02;0.02
117;55.00;47.77;0.24;0.07;-1.04;-0.05
118;50.00;37.27;0.16;-0.02;-1.05;-0.02
119;45.00;28.09;0.08;0.06;-0.97;-0.01
120;40.00;19.51;0.04;-0.02;-1.02;-0.01
121;0.00;12.29;0.00;0.00;-1.05;-0.04
122;0.00;7.30;0.00;0.13;-1.04;-0.07
123;0.00;3.89;0.00;-0.07;-1.05;-0.02
124;0.00;1.59;0.00;-0.06;-1.05;0.04
125;0.00;0.07;0.00;0.01;-1.04;0.02
126;0.00;-1.21;0.00;0.02;-1.03;-0.03
127;0.00;-2.38;0.00;0.00;-1.03;-0.04
128;0.00;-3.12;0.00;-0.02;-1.05;-0.01
129;0.00;-3.57;0.00;-0.02;-1.06;-0.05
130;0.00;-3.92;0.00;-0.01;-1.04;-0.00
131;0.00;-4.12;0.00;-0.00;-1.05;0.00
132;0.00;-4.37;0.00;0.00;-1.03;0.00
133;0.00;-4.51;0.00;-0.01;-1.03;0.00
134;0.00;-4.70;0.00;-0.02;-1.05;-0.00
135;0.00;-4.70;0.00;-0.02;-1.05;-0.00
136;0.00;-4.71;0.00;-0.01;-1.04;-0.01
