Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;1783.00;0.39;0.04;-0.01;-1.04;0.01
1;0.00;1869.00;0.36;0.08;-0.01;-1.04;0.01
2;0.00;1955.00;0.33;0.12;-0.01;-1.04;0.01
3;0.00;2041.00;0.26;0.12;-0.01;-1.04;0.01
4;0.00;2127.00;0.43;0.12;-0.01;-1.04;0.01
5;0.00;2213.00;0.47;0.12;-0.00;-1.04;0.01
6;0.00;2299.00;0.47;0.12;-0.00;-1.04;0.01
7;0.00;2385.00;0.60;0.12;-0.00;-1.04;0.01
8;0.00;2471.00;0.58;0.12;-0.01;-1.04;0.01
9;0.00;2557.00;0.38;0.08;-0.01;-1.04;0.02
10;0.00;2643.00;0.48;0.08;-0.01;-1.04;0.01
11;0.00;2731.00;0.64;0.08;-0.01;-1.04;0.02
12;0.00;2817.00;0.65;0.12;-0.01;-1.04;0.02
13;0.00;2903.00;0.54;0.12;-0.00;-1.04;0.01
14;0.00;2989.00;0.43;0.12;-0.01;-1.05;0.02
15;0.00;3075.00;0.28;0.08;-0.01;-1.04;0.01
16;0.00;3161.00;0.54;0.04;-0.01;-1.04;0.01
17;0.00;3247.00;0.52;0.04;-0.00;-1.04;0.01
18;0.00;3333.00;0.36;0.08;-0.01;-1.04;0.01
19;0.00;3419.00;0.29;0.12;-0.00;-1.04;0.01
20;0.00;3505.00;0.46;0.12;-0.00;-1.04;0.01
21;0.00;3591.00;0.45;0.12;-0.01;-1.04;0.01
22;0.00;3678.00;0.58;0.12;-0.01;-1.05;0.01
23;0.00;3764.00;0.43;0.12;-0.00;-1.03;0.01
24;0.00;3850.00;0.41;0.12;-0.01;-1.04;0.01
25;0.00;3936.00;0.37;0.12;-0.01;-1.04;0.02
26;0.00;4022.00;0.38;0.12;-0.01;-1.04;0.01
27;0.00;4108.00;0.62;0.12;-0.01;-1.04;0.01
28;0.00;4194.00;0.73;0.08;-0.01;-1.04;0.01
29;0.00;4280.00;0.45;0.08;-0.01;-1.04;0.02
30;0.00;4366.00;0.23;0.08;-0.00;-1.04;0.01
31;0.00;4452.00;0.39;0.12;-0.01;-1.04;0.02
32;0.00;4538.00;0.54;0.12;-0.01;-1.04;0.01
33;0.00;4625.00;0.47;0.08;-0.01;-1.04;0.01
34;0.00;4711.00;0.61;0.08;-0.01;-1.04;0.01
35;0.00;4797.00;0.39;0.08;-0.01;-1.04;0.01
36;0.00;4883.00;0.30;0.08;-0.01;-1.04;0.02
37;0.00;4969.00;0.47;0.08;-0.01;-1.04;0.01
38;0.00;5055.00;0.55;0.08;-0.00;-1.04;0.01
39;0.00;5141.00;0.56;0.12;-0.01;-1.04;0.01
40;0.00;5227.00;0.45;0.12;-0.01;-1.04;0.01
41;0.00;5313.00;0.31;0.12;-0.01;-1.04;0.02
42;0.00;5399.00;0.48;0.12;-0.01;-1.04;0.01
43;0.00;5486.00;0.53;0.12;-0.01;-1.04;0.01
44;0.00;5572.00;0.40;0.12;-0.01;-1.04;0.01
45;0.00;5658.00;0.42;0.12;-0.00;-1.04;0.01
46;0.00;5744.00;0.32;0.12;-0.01;-1.04;0.01
47;0.00;5830.00;0.27;0.12;-0.01;-1.04;0.00
48;0.00;5916.00;0.38;0.12;-0.01;-1.04;0.01
49;0.00;6002.00;0.42;0.12;-0.01;-1.04;0.01
50;0.00;6088.00;0.34;0.12;-0.00;-1.04;0.02
51;0.00;6174.00;0.30;0.12;-0.01;-1.04;0.01
52;0.00;6260.00;0.40;0.12;-0.01;-1.04;0.02
53;0.00;6346.00;0.45;0.12;-0.01;-1.04;0.02
54;0.00;6433.00;0.41;0.12;-0.00;-1.04;0.01
55;0.00;6519.00;0.45;0.12;-0.00;-1.03;0.02
56;0.00;6605.00;0.46;0.08;-0.01;-1.04;0.01
57;0.00;6691.00;0.45;0.04;-0.01;-1.04;0.01
