Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;5229896.00;0.34;0.24;0.00;-1.00;0.00
1;0.00;5316012.00;0.34;0.24;0.00;-1.00;0.00
2;0.00;5402124.00;0.49;0.24;0.00;-1.00;0.00
3;0.00;5488248.00;0.49;0.24;-0.00;-1.00;0.00
4;0.00;5574364.00;0.37;0.24;0.00;-1.00;0.00
5;0.00;5660480.00;0.38;0.24;0.00;-1.00;0.00
6;0.00;5746600.00;0.38;0.24;0.00;-1.00;0.00
7;0.00;5832744.00;0.25;0.24;0.00;-1.00;0.00
8;0.00;5918824.00;0.21;0.24;0.00;-0.99;0.00
9;0.00;6004944.00;0.40;0.24;0.00;-0.99;0.00
10;0.00;6091096.00;0.57;0.24;-0.00;-1.00;0.00
11;0.00;6177192.00;0.62;0.24;0.00;-1.00;0.00
12;0.00;6263312.00;0.63;0.24;0.00;-1.00;0.00
13;0.00;6349432.00;0.55;0.24;0.00;-1.00;0.00
14;0.00;6435560.00;0.49;0.24;0.00;-1.00;0.00
15;0.00;6521680.00;0.36;0.24;0.00;-1.00;0.00
16;0.00;6607780.00;0.43;0.24;0.00;-1.00;0.00
17;0.00;6693920.00;0.53;0.24;-0.00;-1.00;0.00
18;0.00;6780032.00;0.61;0.24;0.00;-1.00;0.00
19;0.00;6866160.00;0.47;0.24;0.00;-1.00;0.00
20;0.00;6952280.00;0.46;0.24;0.00;-1.00;0.00
21;0.00;7124524.00;0.62;0.24;-0.00;-0.99;0.00
22;0.00;7210648.00;0.46;0.24;0.00;-1.00;0.00
23;0.00;7296756.00;0.37;0.24;0.00;-1.00;0.00
24;0.00;7382876.00;0.48;0.24;0.00;-1.00;0.00
25;0.00;7468988.00;0.51;0.24;-0.01;-0.99;0.00
26;0.00;7555120.00;0.38;0.24;0.00;-1.00;0.00
27;0.00;7641232.00;0.33;0.24;0.00;-0.99;0.00
28;0.00;7727368.00;0.30;0.24;0.00;-1.00;0.00
29;0.00;7813496.00;0.45;0.24;0.00;-1.00;0.00
30;0.00;7899600.00;0.62;0.24;0.00;-1.00;0.00
31;0.00;7985720.00;0.55;0.24;0.00;-1.00;0.00
32;0.00;8071848.00;0.50;0.24;0.00;-1.00;0.00
33;0.00;8157960.00;0.33;0.24;0.00;-0.99;0.01
34;0.00;8244096.00;0.33;0.24;0.00;-1.00;0.00
35;0.00;8330184.00;0.58;0.24;0.00;-0.99;0.00
36;0.00;8416316.00;0.43;0.24;0.00;-1.00;0.00
37;0.00;8502428.00;0.38;0.24;0.00;-1.00;0.00
38;0.00;8588540.00;0.44;0.24;0.00;-1.00;0.00
39;0.00;8674652.00;0.58;0.24;0.00;-1.00;0.00
40;0.00;8760764.00;0.40;0.24;0.00;-1.00;0.00
41;0.00;8846896.00;0.26;0.24;0.00;-1.00;0.00
42;0.00;8933040.00;0.45;0.24;0.00;-1.00;0.00
43;0.00;9019132.00;0.60;0.24;0.00;-1.00;0.00
44;0.00;9105244.00;0.57;0.24;-0.00;-1.00;0.00
45;0.00;9191368.00;0.51;0.24;0.00;-1.00;0.00
46;0.00;9277484.00;0.49;0.24;-0.00;-1.00;0.00
47;0.00;9363616.00;0.42;0.24;0.00;-1.00;0.00
48;0.00;9449736.00;0.34;0.24;0.00;-1.00;0.00
49;0.00;9535840.00;0.38;0.24;-0.00;-1.00;0.00
50;0.00;9621956.00;0.30;0.24;0.00;-0.99;0.00
51;0.00;9708096.00;0.30;0.24;0.00;-1.00;0.00
52;0.00;9794224.00;0.17;0.24;0.00;-1.00;0.00
53;0.00;9880340.00;0.30;0.24;-0.00;-1.00;0.00
54;0.00;9966460.00;0.31;0.24;0.00;-1.00;0.00
55;0.00;10052564.00;0.45;0.24;0.00;-0.99;0.00
56;0.00;10138700.00;0.55;0.24;0.00;-1.00;0.01
57;0.00;10224812.00;0.26;0.24;0.00;-1.00;0.00
58;0.00;10310952.00;0.23;0.24;0.00;-1.00;0.00
59;0.00;10397060.00;0.50;0.24;0.00;-0.99;0.00
60;0.00;10483192.00;0.46;0.24;-0.00;-1.00;0.00
61;0.00;10569312.00;0.23;0.24;0.00;-1.00;0.00
62;0.00;10655424.00;0.36;0.24;0.00;-0.99;0.00
