Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0;8740672.00;1;0.20;0.00;-1.00;0.00
1;0;8826784.00;1;0.24;0.00;-1.00;0.00
2;0;8912908.00;0;0.24;0.00;-0.99;0.00
3;0;8999028.00;1;0.24;-0.00;-1.00;0.00
4;0;9085124.00;0;0.24;0.00;-0.99;0.00
5;0;9171260.00;1;0.20;0.00;-1.00;0.00
6;0;9257364.00;0;0.20;-0.00;-1.00;0.00
7;0;9343480.00;0;0.16;0.00;-1.00;0.00
8;0;9429600.00;0;0.20;0.00;-1.00;0.00
9;0;9515724.00;0;0.16;0.00;-1.00;0.00
10;0;9601824.00;1;0.20;0.00;-0.99;0.00
11;0;9687956.00;0;0.20;0.00;-1.00;0.00
12;0;9774096.00;0;0.20;0.00;-1.00;0.00
13;0;9860188.00;0;0.20;0.00;-1.00;0.00
14;0;9946296.00;0;0.20;0.00;-1.00;0.00
15;0;10032432.00;1;0.24;0.00;-0.99;0.00
16;0;10204648.00;1;0.24;-0.00;-1.00;0.00
17;0;10290764.00;1;0.24;0.00;-1.00;0.00
18;0;10376880.00;0;0.24;0.00;-1.00;0.00
19;0;10463008.00;0;0.20;0.00;-1.00;0.00
20;0;10549124.00;1;0.20;-0.00;-1.00;0.00
21;0;10635240.00;1;0.20;-0.00;-1.00;0.00
22;0;10721348.00;1;0.24;0.00;-0.99;0.00
23;0;10807476.00;1;0.24;0.00;-1.00;0.00
24;0;10893636.00;1;0.24;0.00;-1.00;0.00
25;0;10979712.00;1;0.24;0.00;-1.00;0.00
26;0;11065832.00;1;0.24;0.00;-1.00;0.00
27;0;11151956.00;0;0.24;0.00;-1.00;0.00
28;0;11238044.00;0;0.24;0.00;-0.99;0.00
29;0;11324168.00;0;0.24;-0.00;-1.00;0.00
30;0;11410284.00;1;0.24;0.00;-1.00;0.00
31;0;11496392.00;1;0.24;-0.00;-1.01;0.00
32;0;11582508.00;1;0.20;0.00;-1.00;0.00
33;0;11668632.00;1;0.20;-0.00;-1.00;0.00
34;0;11754756.00;1;0.16;0.00;-1.00;0.00
35;0;11840852.00;1;0.20;0.00;-0.99;0.00
36;0;11926968.00;1;0.20;-0.00;-1.00;0.00
37;0;12013100.00;1;0.24;0.00;-1.00;0.00
38;0;12099204.00;1;0.24;-0.00;-1.00;0.00
39;0;12185308.00;1;0.24;-0.00;-1.00;0.00
40;0;12271424.00;1;0.24;0.00;-1.00;0.00
41;0;12357536.00;0;0.24;0.00;-1.00;0.01
42;0;12443644.00;0;0.24;-0.00;-1.00;0.00
43;0;12529760.00;1;0.24;-0.00;-1.00;0.00
44;0;12615864.00;1;0.24;-0.00;-1.00;0.00
45;0;12701980.00;1;0.24;0.00;-0.99;0.00
46;0;12788088.00;1;0.24;0.00;-1.00;0.00
47;0;12874224.00;1;0.24;0.00;-1.00;0.00
48;0;12960320.00;1;0.24;0.00;-1.00;0.00
49;0;13046432.00;0;0.24;0.00;-0.99;0.00
50;0;13132544.00;0;0.24;0.00;-1.00;0.00
51;100;13218656.00;1;0.69;-0.00;-1.06;0.05
52;100;13304776.00;2;3.33;0.15;-0.99;0.09
53;100;13390900.00;18;6.95;0.27;-1.55;0.01
54;100;13477004.00;136;9.52;1.31;-0.56;0.07
55;100;13563132.00;366;10.57;-0.27;-1.34;0.31
56;100;13649248.00;471;9.92;-1.12;-0.59;0.07
57;100;13735368.00;487;10.05;1.43;-0.45;0.19
58;100;13821500.00;488;9.52;-0.06;-1.30;0.10
59;100;13907596.00;486;9.56;-0.90;-0.65;0.02
60;100;13993728.00;485;9.68;1.48;-0.45;0.01
61;100;14079844.00;485;10.00;-0.56;-1.44;0.02
62;100;14165948.00;484;10.13;-0.96;-0.78;0.05
63;100;14252100.00;483;10.13;1.47;-0.34;0.15
64;100;14338216.00;482;10.09;-0.89;-1.23;0.01
65;100;14424324.00;482;10.37;-0.62;-0.38;0.01
66;100;14510444.00;482;10.49;1.25;-0.96;0.07
67;100;14596604.00;483;10.00;-1.10;-1.10;0.14
68;100;14682684.00;483;9.96;0.52;-0.10;0.04
69;100;14768824.00;481;9.68;0.65;-1.08;0.22
70;100;14854960.00;481;10.09;-1.27;-0.87;0.28
71;100;14941064.00;484;9.72;1.32;-0.58;0.18
72;100;15027176.00;484;9.72;-0.73;-1.11;0.18
73;100;15113284.00;481;9.56;-0.62;-0.33;0.04
74;100;15199408.00;480;9.88;1.34;-0.59;0.21
75;100;15285536.00;480;10.09;-1.44;-0.87;0.12
76;100;15371632.00;480;10.05;0.62;-0.58;0.24
77;100;15457756.00;479;9.76;0.20;-0.96;0.23
78;100;15543876.00;478;9.39;-1.07;-0.42;0.24
79;100;15630008.00;477;9.15;1.49;-0.49;0.20
80;100;15716132.00;476;9.52;-1.00;-1.07;0.29
81;100;15802232.00;478;9.64;0.63;-0.21;0.12
82;100;15888344.00;479;10.05;0.64;-0.89;0.39
83;100;15974492.00;477;10.00;-1.60;-0.82;0.16
84;100;16060588.00;473;10.09;1.43;-0.69;0.24
85;100;16146700.00;474;9.76;-0.35;-1.35;0.03
86;100;16232816.00;476;9.31;-0.19;-0.00;0.22
87;100;16318932.00;477;9.35;1.17;-0.56;0.31
88;100;16405048.00;476;9.27;-1.53;-0.82;0.21
89;100;16491156.00;476;9.48;1.26;-0.51;0.20
90;100;16577268.00;475;9.76;-0.77;-1.27;0.01
91;100;16663380.00;476;9.88;-0.18;-0.31;0.01
92;100;16749492.00;475;9.68;0.93;-0.94;0.09
93;100;16835628.00;472;9.39;-1.59;-0.79;0.01
94;100;16921736.00;474;9.48;1.42;-0.67;0.34
95;100;17007864.00;477;9.96;-0.93;-1.24;0.27
96;100;17093968.00;477;10.37;0.72;-0.27;0.19
97;100;17180096.00;476;10.86;0.12;-1.00;0.26
98;100;17266216.00;476;10.94;-0.42;-0.61;0.07
99;100;17352340.00;476;10.78;1.31;-0.52;0.23
100;100;17438460.00;477;10.49;-1.36;-0.93;0.13
101;100;17524600.00;477;10.29;1.38;-0.45;0.16
102;100;17610720.00;477;9.92;-1.31;-1.34;0.02
103;100;17696844.00;476;9.92;0.65;-0.25;0.14
104;100;17782936.00;474;9.76;-0.39;-0.67;0.41
105;100;17869068.00;473;10.09;-0.12;0.14;0.18
106;100;17955164.00;473;9.80;0.36;-0.98;0.37
107;100;18041292.00;475;9.84;-0.74;-0.02;0.41
108;100;18127420.00;479;9.84;1.03;-0.80;0.30
109;100;18213536.00;479;10.33;-1.08;-0.18;0.10
110;100;18299660.00;480;10.41;1.43;-0.90;0.28
111;100;18385784.00;480;10.25;-1.22;-0.76;0.34
112;100;18471892.00;478;9.84;1.50;-0.75;0.10
113;100;18558036.00;478;10.05;-1.50;-1.02;0.34
114;100;18644136.00;481;9.92;1.49;-0.80;0.17
115;100;18730260.00;480;9.76;-1.47;-1.28;0.39
116;100;18816364.00;476;9.31;1.50;-0.70;0.25
117;100;18902500.00;479;9.31;-1.25;-1.09;0.29
118;100;18988596.00;478;9.72;0.99;-0.58;0.38
119;100;19074740.00;475;9.92;-0.65;-1.27;0.21
120;100;19160844.00;474;10.05;0.61;-0.11;0.25
121;100;19246968.00;471;9.88;-0.06;-1.38;0.01
122;100;19333068.00;469;9.76;0.02;-0.54;0.02
123;100;19419192.00;469;9.76;0.59;-0.95;0.20
124;100;19505308.00;472;9.68;-0.88;-0.48;0.27
125;100;19591436.00;475;9.56;0.90;-0.68;0.29
126;100;19677560.00;475;9.31;-1.11;-0.55;0.09
127;100;19763644.00;475;9.64;0.95;-0.81;0.24
128;100;19849776.00;474;10.00;-1.25;-0.71;0.07
129;100;19935888.00;474;10.21;1.52;-0.62;0.07
130;100;20022004.00;473;9.84;-1.53;-0.93;0.16
131;100;20108112.00;472;9.92;1.57;-0.69;0.05
