Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des μC in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;-27.00;0.64;0.12;-0.01;-1.04;0.01
1;0.00;2107.00;0.51;0.12;-0.01;-1.04;0.01
2;0.00;-111.00;0.41;0.12;-0.01;-1.04;0.02
3;0.00;-25.00;0.63;0.12;-0.01;-1.05;0.01
4;0.00;2366.00;0.52;0.12;-0.01;-1.04;0.01
5;0.00;-108.00;0.49;0.12;-0.01;-1.04;0.02
6;0.00;-22.00;0.56;0.12;-0.01;-1.04;0.01
7;0.00;2624.00;0.58;0.12;-0.01;-1.04;0.02
8;0.00;-106.00;0.60;0.12;-0.01;-1.04;0.01
9;0.00;-20.00;0.40;0.12;-0.01;-1.04;0.02
10;0.00;2882.00;0.36;0.12;-0.01;-1.04;0.00
11;0.00;-104.00;0.41;0.12;-0.01;-1.04;0.01
12;0.00;-18.00;0.53;0.12;-0.01;-1.04;0.01
13;0.00;3141.00;0.51;0.12;-0.01;-1.04;0.01
14;0.00;-101.00;0.43;0.12;-0.00;-1.04;0.02
15;0.00;-15.00;0.35;0.12;-0.00;-1.04;0.01
16;0.00;3399.00;0.58;0.12;-0.01;-1.04;0.01
17;0.00;-99.00;0.47;0.16;-0.01;-1.04;0.01
18;0.00;-13.00;0.40;0.16;-0.01;-1.04;0.02
19;0.00;3657.00;0.47;0.16;-0.01;-1.04;0.00
20;0.00;-97.00;0.62;0.12;-0.01;-1.06;0.02
21;0.00;-11.00;0.63;0.16;-0.01;-1.04;0.01
22;0.00;3916.00;0.45;0.16;-0.00;-1.03;0.01
23;0.00;-94.00;0.57;0.16;-0.01;-1.04;0.01
24;0.00;-8.00;0.48;0.12;-0.01;-1.05;0.02
25;0.00;4174.00;0.26;0.12;-0.01;-1.04;0.02
26;0.00;-92.00;0.56;0.12;-0.01;-1.04;0.01
27;0.00;-6.00;0.67;0.12;-0.01;-1.04;0.01
28;0.00;4432.00;0.60;0.12;-0.00;-1.04;0.01
29;0.00;-90.00;0.55;0.12;-0.01;-1.04;0.01
30;0.00;-4.00;0.61;0.12;-0.01;-1.04;0.01
31;0.00;4691.00;0.46;0.12;-0.00;-1.04;0.00
32;0.00;-87.00;0.43;0.12;-0.01;-1.04;0.01
33;0.00;4864.00;0.31;0.12;-0.01;-1.04;0.02
34;0.00;4950.00;0.37;0.12;-0.01;-1.05;0.02
35;0.00;-84.00;0.51;0.12;-0.01;-1.04;0.01
36;0.00;5122.00;0.43;0.12;-0.01;-1.04;0.01
37;0.00;5208.00;0.50;0.12;-0.01;-1.04;0.01
38;0.00;-82.00;0.56;0.12;-0.01;-1.04;0.01
39;0.00;5380.00;0.49;0.12;-0.01;-1.04;0.01
40;0.00;5467.00;0.43;0.12;-0.01;-1.04;0.01
41;0.00;-79.00;0.40;0.16;-0.01;-1.04;0.01
42;0.00;5639.00;0.54;0.16;-0.00;-1.04;0.01
43;0.00;5725.00;0.62;0.16;-0.00;-1.04;0.01
44;0.00;-77.00;0.71;0.12;-0.00;-1.04;0.01
45;0.00;5897.00;0.66;0.12;-0.01;-1.04;0.01
46;0.00;5983.00;0.73;0.12;-0.01;-1.03;0.02
47;0.00;-75.00;0.56;0.12;-0.01;-1.05;0.02
48;0.00;6155.00;0.42;0.12;-0.01;-1.04;0.01
49;0.00;6242.00;0.58;0.12;-0.01;-1.04;0.01
50;0.00;-72.00;0.51;0.12;-0.01;-1.04;0.01
51;0.00;6414.00;0.40;0.12;-0.01;-1.04;0.01
52;0.00;6500.00;0.31;0.12;-0.01;-1.05;0.01
53;0.00;-70.00;0.49;0.12;-0.01;-1.04;0.01
54;0.00;6672.00;0.44;0.12;-0.01;-1.03;0.01
55;0.00;6758.00;0.41;0.16;-0.01;-1.04;0.01
56;0.00;-68.00;0.45;0.16;-0.01;-1.04;0.01
57;0.00;6930.00;0.54;0.16;-0.01;-1.04;0.01
58;0.00;7017.00;0.71;0.12;-0.01;-1.04;0.02
59;0.00;-65.00;0.53;0.12;-0.00;-1.04;0.01
60;0.00;7189.00;0.43;0.12;-0.01;-1.04;0.01
61;0.00;7275.00;0.51;0.12;-0.01;-1.04;0.01
62;0.00;-63.00;0.65;0.12;-0.01;-1.04;0.01
63;0.00;7447.00;0.39;0.12;-0.01;-1.04;0.02
64;0.00;7533.00;0.45;0.12;-0.00;-1.04;0.01
65;0.00;-61.00;0.41;0.12;-0.01;-1.04;0.01
66;0.00;7705.00;0.46;0.12;-0.01;-1.04;0.01
67;0.00;7791.00;0.51;0.12;-0.01;-1.04;0.01
68;0.00;-58.00;0.60;0.16;-0.01;-1.04;0.01
69;0.00;7964.00;0.47;0.16;-0.01;-1.04;0.01
70;0.00;8050.00;0.38;0.16;-0.00;-1.04;0.00
71;0.00;-56.00;0.47;0.12;-0.01;-1.04;0.02
72;0.00;8222.00;0.55;0.12;-0.01;-1.04;0.01
73;0.00;8308.00;0.55;0.12;-0.01;-1.03;0.01
74;0.00;-54.00;0.74;0.12;-0.00;-1.04;0.01
75;0.00;8480.00;0.54;0.12;-0.01;-1.04;0.01
76;0.00;8566.00;0.51;0.12;-0.01;-1.04;0.01
77;0.00;-51.00;0.65;0.12;-0.00;-1.04;0.01
78;0.00;8739.00;0.60;0.12;-0.00;-1.03;0.00
79;40.00;8825.00;0.53;0.32;-0.01;-0.99;0.08
80;45.00;-49.00;1.99;1.74;-0.07;-0.90;0.07
81;50.00;8997.00;17.81;2.60;-0.47;-1.35;0.16
82;55.00;9083.00;75.63;3.49;-0.34;-1.47;0.00
83;60.00;-47.00;147.18;3.17;-0.25;-0.49;0.13
84;65.00;9255.00;187.08;3.54;-0.84;-1.25;0.11
85;70.00;9341.00;215.00;4.27;-0.86;-0.61;0.01
86;75.00;-44.00;242.82;5.08;0.38;-1.73;0.00
87;80.00;9515.00;275.30;5.94;-0.05;-1.58;0.00
88;85.00;-127.00;308.53;6.63;1.19;-1.28;0.10
89;90.00;-41.00;339.65;7.56;1.41;-0.93;0.15
90;95.00;9773.00;371.42;8.50;1.46;-1.28;0.00
91;100.00;-125.00;399.12;9.15;0.30;-1.26;0.05
92;105.00;-39.00;408.34;9.03;-0.52;-1.31;0.02
93;110.00;10031.00;409.43;8.70;-1.47;-1.28;0.02
94;115.00;-123.00;410.12;8.26;-1.59;-1.15;0.00
95;120.00;-37.00;409.50;8.17;-0.75;-0.27;0.01
96;125.00;10290.00;409.19;8.21;0.48;-0.71;0.01
97;130.00;-120.00;408.57;8.34;1.46;-0.49;0.06
98;135.00;-34.00;408.12;8.70;1.43;-1.01;0.00
99;140.00;10548.00;407.05;8.91;0.67;-1.38;0.12
100;140.00;-118.00;406.44;9.19;-0.23;-1.32;0.07
101;135.00;-32.00;405.30;9.03;-0.64;-1.11;0.15
102;130.00;10806.00;404.96;9.15;-1.53;-1.38;0.09
103;125.00;-116.00;404.81;8.74;-1.54;-1.12;0.00
104;120.00;-29.00;404.77;8.74;-0.87;-0.54;0.10
105;115.00;11065.00;405.02;8.66;0.20;-0.30;0.09
106;110.00;-113.00;404.48;8.78;1.14;-0.62;0.08
107;105.00;-27.00;405.53;8.74;1.55;-0.94;0.02
108;100.00;11323.00;406.57;8.70;1.61;-1.26;0.06
