Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;1727.00;0.79;0.04;-0.01;-1.04;0.01
1;0.00;1813.00;0.68;0.08;-0.01;-1.04;0.01
2;0.00;1899.00;0.62;0.12;-0.01;-1.04;0.01
3;0.00;1986.00;0.71;0.12;-0.01;-1.04;0.01
4;0.00;2072.00;0.78;0.12;-0.01;-1.04;0.01
5;0.00;2158.00;0.74;0.12;-0.01;-1.04;0.02
6;0.00;2244.00;0.51;0.12;-0.01;-1.04;0.01
7;0.00;2330.00;0.53;0.12;-0.01;-1.04;0.02
8;0.00;2416.00;0.67;0.12;-0.01;-1.04;0.01
9;0.00;2502.00;0.88;0.12;-0.01;-1.04;0.02
10;0.00;2588.00;0.83;0.12;-0.01;-1.04;0.01
11;0.00;2674.00;0.81;0.12;-0.01;-1.04;0.02
12;0.00;2760.00;0.62;0.12;-0.00;-1.04;0.01
13;0.00;2847.00;0.40;0.12;-0.01;-1.04;0.01
14;0.00;2933.00;0.48;0.12;-0.01;-1.04;0.01
15;0.00;3019.00;0.66;0.12;-0.01;-1.04;0.01
16;0.00;3105.00;0.59;0.12;-0.01;-1.03;0.01
17;0.00;3191.00;0.67;0.12;-0.01;-1.04;0.01
18;0.00;3277.00;0.61;0.12;-0.01;-1.04;0.01
19;0.00;3363.00;0.54;0.12;-0.01;-1.04;0.02
20;0.00;3449.00;0.62;0.12;-0.01;-1.04;0.01
21;0.00;3535.00;0.53;0.12;-0.01;-1.03;0.01
22;0.00;3621.00;0.55;0.12;-0.01;-1.04;0.01
23;0.00;3707.00;0.57;0.12;-0.01;-1.04;0.02
24;0.00;3794.00;0.57;0.12;-0.01;-1.04;0.02
25;0.00;3880.00;0.73;0.12;-0.01;-1.05;0.02
26;0.00;3966.00;0.77;0.12;-0.01;-1.04;0.01
27;0.00;4052.00;0.96;0.12;-0.01;-1.04;0.01
28;0.00;4139.00;0.81;0.12;-0.01;-1.04;0.02
29;0.00;4225.00;0.67;0.12;-0.01;-1.04;0.02
30;0.00;4311.00;0.69;0.12;-0.01;-1.04;0.01
31;0.00;4397.00;0.81;0.12;-0.01;-1.04;0.01
32;0.00;4483.00;0.97;0.12;-0.01;-1.04;0.01
33;0.00;4569.00;0.75;0.12;-0.01;-1.03;0.01
34;0.00;4656.00;0.72;0.12;-0.01;-1.04;0.01
35;0.00;4742.00;0.76;0.12;-0.01;-1.05;0.01
36;0.00;4828.00;0.54;0.12;-0.01;-1.04;0.01
37;0.00;4914.00;0.45;0.12;-0.01;-1.03;0.01
38;0.00;5000.00;0.73;0.12;-0.01;-1.04;0.01
39;0.00;5086.00;0.54;0.12;-0.01;-1.04;0.01
40;0.00;5172.00;0.43;0.12;-0.01;-1.04;0.02
41;0.00;5258.00;0.63;0.12;-0.01;-1.04;0.02
42;0.00;5344.00;0.64;0.12;-0.01;-1.04;0.01
43;0.00;5430.00;0.53;0.12;-0.01;-1.04;0.02
44;0.00;5517.00;0.55;0.12;-0.01;-1.04;0.02
45;0.00;5603.00;0.63;0.12;-0.01;-1.04;0.02
46;0.00;5689.00;0.50;0.12;-0.01;-1.04;0.01
47;0.00;5775.00;0.33;0.12;-0.01;-1.04;0.01
48;0.00;5861.00;0.58;0.12;-0.00;-1.04;0.01
49;0.00;5947.00;0.54;0.12;-0.01;-1.04;0.01
50;0.00;6033.00;0.49;0.12;-0.01;-1.04;0.01
51;0.00;6119.00;0.49;0.12;-0.01;-1.03;0.01
52;0.00;6205.00;0.70;0.12;-0.01;-1.04;0.01
53;0.00;6291.00;0.86;0.12;-0.01;-1.04;0.01
54;0.00;6378.00;0.64;0.12;-0.01;-1.04;0.02
55;0.00;6464.00;0.45;0.12;-0.01;-1.04;0.01
56;0.00;6550.00;0.47;0.12;-0.01;-1.04;0.01
57;0.00;6636.00;0.66;0.12;-0.01;-1.04;0.01
58;0.00;6722.00;0.77;0.12;-0.01;-1.04;0.01
59;0.00;6808.00;0.86;0.12;-0.00;-1.04;0.01
60;0.00;6894.00;0.79;0.12;-0.01;-1.04;0.01
61;0.00;6980.00;0.81;0.12;-0.01;-1.04;0.01
62;0.00;7066.00;0.73;0.12;-0.01;-1.04;0.01
63;0.00;7152.00;0.63;0.12;-0.01;-1.04;0.01
64;0.00;7239.00;0.73;0.12;-0.01;-1.04;0.01
65;0.00;7325.00;0.60;0.12;-0.01;-1.04;0.00
66;0.00;7411.00;0.38;0.12;-0.01;-1.04;0.01
67;0.00;7497.00;0.49;0.12;-0.01;-1.04;0.01
68;0.00;7583.00;0.59;0.12;-0.01;-1.04;0.02
69;0.00;7669.00;0.63;0.12;-0.01;-1.04;0.01
70;0.00;7755.00;0.61;0.12;-0.01;-1.03;0.00
71;0.00;7841.00;0.75;0.12;-0.01;-1.04;0.01
72;0.00;7927.00;0.75;0.12;-0.01;-1.03;0.02
73;0.00;8013.00;0.65;0.12;-0.00;-1.04;0.01
74;0.00;8100.00;0.63;0.12;-0.01;-1.04;0.01
75;0.00;8186.00;0.58;0.12;-0.01;-1.04;0.01
76;0.00;8272.00;0.63;0.12;-0.01;-1.04;0.01
77;0.00;8358.00;0.55;0.12;-0.01;-1.04;0.01
78;0.00;8444.00;0.76;0.12;-0.01;-1.04;0.01
79;0.00;8530.00;0.81;0.12;-0.01;-1.04;0.01
80;0.00;8616.00;0.68;0.12;-0.01;-1.04;0.01
81;0.00;8702.00;0.83;0.12;-0.01;-1.04;0.01
82;0.00;8788.00;0.73;0.12;-0.02;-1.04;0.02
83;0.00;8875.00;0.71;0.12;-0.01;-1.03;0.01
84;0.00;8962.00;0.84;0.16;-0.01;-1.04;0.01
85;0.00;9048.00;0.78;0.16;-0.01;-1.04;0.01
86;0.00;9134.00;0.72;0.16;-0.01;-1.04;0.01
87;0.00;9220.00;0.75;0.12;-0.01;-1.03;0.00
88;0.00;9306.00;0.68;0.12;-0.00;-1.04;0.02
89;0.00;9392.00;0.53;0.12;-0.01;-1.04;0.01
90;0.00;9478.00;0.60;0.12;-0.01;-1.04;0.01
91;0.00;9564.00;0.71;0.12;-0.01;-1.04;0.01
92;0.00;9650.00;0.70;0.12;-0.01;-1.04;0.01
93;0.00;9736.00;0.82;0.12;-0.01;-1.04;0.02
94;0.00;9823.00;0.75;0.12;-0.01;-1.04;0.01
95;40.00;9909.00;0.60;0.69;0.01;-0.98;0.15
96;45.00;9995.00;1.99;2.27;0.24;-0.59;0.08
97;50.00;10081.00;16.26;3.29;0.07;-1.00;0.25
98;55.00;10167.00;71.49;3.82;0.08;-1.16;0.01
99;60.00;10253.00;145.87;3.37;-0.53;-1.30;0.01
100;65.00;10339.00;188.80;3.54;0.73;-1.03;0.10
101;70.00;10425.00;221.62;4.06;0.19;-1.54;0.02
102;75.00;10511.00;249.68;4.92;0.64;-0.99;0.05
103;85.00;10684.00;308.55;6.83;-1.14;-0.81;0.03
104;90.00;10770.00;339.80;8.05;0.15;-0.97;0.05
