Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;3732824.00;0.40;0.24;-0.00;-1.04;0.00
1;9.00;3818968.00;0.48;0.61;-0.09;-1.06;0.02
2;9.00;3905064.00;2.70;0.73;0.21;-1.08;0.02
3;9.00;3991180.00;14.63;0.81;0.20;-0.98;0.03
4;9.00;4077308.00;27.08;0.56;-0.02;-1.05;0.00
5;9.00;4163420.00;34.18;0.52;-0.09;-1.02;0.00
6;9.00;4249532.00;37.59;0.56;0.05;-1.05;0.02
7;9.00;4335656.00;39.65;0.52;0.00;-1.06;0.06
8;9.00;4421780.00;40.86;0.56;-0.01;-1.06;0.04
9;9.00;4507892.00;41.47;0.56;0.04;-1.04;0.00
10;9.00;4594012.00;41.89;0.61;-0.10;-1.07;0.00
11;9.00;4680148.00;42.16;0.56;0.21;-0.98;0.01
12;19.00;4766252.00;42.39;0.89;-0.29;-1.26;0.07
13;19.00;4852372.00;52.35;1.22;-0.14;-0.60;0.06
14;19.00;4938484.00;84.30;1.58;-0.20;-0.59;0.05
15;19.00;5024600.00;102.83;1.54;0.38;-0.90;0.07
16;19.00;5110716.00;107.30;1.46;-0.21;-0.89;0.03
17;19.00;5196832.00;108.25;1.38;-0.11;-0.76;0.04
18;29.00;5282948.00;109.18;1.87;0.39;-0.48;0.20
19;29.00;5369080.00;133.12;2.36;0.35;-1.30;0.19
20;29.00;5455200.00;185.60;3.05;-0.61;-1.67;0.12
21;29.00;5541332.00;205.96;3.09;-0.61;-1.03;0.04
22;39.00;5627448.00;209.03;4.06;0.83;-0.75;0.03
23;39.00;5713560.00;232.37;4.84;-0.11;-1.79;0.08
24;39.00;5799704.00;301.68;5.81;-0.89;-1.63;0.11
25;39.00;5885792.00;334.71;5.77;-0.82;-0.40;0.08
26;39.00;5971904.00;338.65;5.69;0.60;-0.74;0.06
27;49.00;6058056.00;339.62;7.36;1.17;-0.65;0.11
28;49.00;6144152.00;374.90;9.03;-0.51;-1.33;0.33
29;49.00;6230260.00;457.44;10.41;-1.29;-0.98;0.21
30;49.00;6316384.00;487.07;10.05;1.04;-0.43;0.13
31;49.00;6402488.00;488.64;9.88;0.89;-1.30;0.06
32;49.00;6488616.00;487.96;10.05;-1.46;-1.28;0.00
33;59.00;6574720.00;487.44;10.00;-0.08;-0.42;0.03
34;59.00;6746968.00;486.85;9.84;-1.02;-1.34;0.29
35;59.00;6833072.00;486.81;9.80;-0.91;-0.60;0.14
36;59.00;6919196.00;486.20;9.31;1.37;-0.86;0.34
37;69.00;7005308.00;485.58;9.44;-0.19;-1.24;0.34
38;69.00;7091424.00;485.05;9.39;-1.38;-0.78;0.04
39;69.00;7177540.00;485.52;9.72;0.88;-0.63;0.31
40;69.00;7263656.00;486.74;9.76;0.41;-1.06;0.28
41;69.00;7349792.00;486.93;10.17;-1.54;-1.09;0.22
42;69.00;7435896.00;486.30;10.29;0.66;-0.50;0.23
43;79.00;7522040.00;487.56;10.25;0.55;-1.03;0.30
44;79.00;7608152.00;486.84;9.88;-1.58;-1.11;0.37
45;79.00;7694252.00;484.83;9.44;0.83;-0.51;0.29
46;79.00;7780392.00;480.40;9.72;0.86;-1.14;0.39
47;89.00;7866512.00;479.29;9.64;-1.65;-1.35;0.35
48;89.00;7952620.00;480.27;9.96;0.50;-0.55;0.29
49;89.00;8038744.00;479.31;9.84;1.12;-0.98;0.38
50;89.00;8124864.00;479.89;10.25;-1.53;-1.17;0.46
51;89.00;8210976.00;480.19;9.92;0.56;-0.49;0.26
52;100.00;8297096.00;480.50;9.80;0.40;-0.73;0.50
53;100.00;8383208.00;481.53;9.31;-1.36;-0.88;0.27
54;100.00;8469328.00;481.66;9.44;1.18;-0.74;0.60
55;100.00;8555432.00;481.86;9.31;-0.27;-0.91;0.55
56;100.00;8641544.00;483.50;9.68;-0.89;-0.63;0.03
57;100.00;8727684.00;484.72;10.05;1.49;-1.10;0.47
58;100.00;8813808.00;485.35;10.25;-1.13;-1.02;0.04
59;100.00;8899908.00;483.71;10.25;0.27;-0.40;0.30
60;100.00;8986020.00;481.71;10.17;1.17;-0.99;0.33
61;100.00;9072148.00;477.99;9.92;-1.54;-1.27;0.24
62;100.00;9158252.00;475.05;9.88;0.51;-0.48;0.21
63;89.00;9244372.00;474.93;9.84;0.93;-1.05;0.19
