Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;2514636.00;0.43;0.16;-0.00;-1.00;0.00
1;0.00;2600736.00;0.49;0.12;0.00;-1.00;0.00
2;0.00;2686888.00;0.28;0.12;0.00;-1.00;0.00
3;0.00;2772936.00;0.34;0.12;0.00;-0.99;0.00
4;1.00;2859040.00;0.43;0.12;0.00;-0.99;0.00
5;2.00;2945176.00;0.34;0.16;-0.00;-1.00;0.09
6;3.00;3031252.00;0.67;0.24;0.00;-0.99;0.07
7;4.00;3117364.00;2.28;0.32;-0.00;-0.98;0.03
8;5.00;3203460.00;5.89;0.36;0.05;-0.98;0.01
9;6.00;3289568.00;9.66;0.36;0.15;-0.97;0.05
10;7.00;3375672.00;14.27;0.40;-0.26;-1.09;0.09
11;8.00;3461780.00;19.35;0.49;-0.17;-1.03;0.01
12;9.00;3547884.00;24.45;0.57;-0.11;-1.01;0.10
13;10.00;3633984.00;30.09;0.57;0.13;-1.01;0.03
14;11.00;3720076.00;35.24;0.61;-0.08;-1.06;0.04
15;12.00;3806180.00;40.52;0.65;-0.28;-0.93;0.06
16;13.00;3892264.00;46.72;0.73;-0.29;-0.87;0.02
17;14.00;3978372.00;53.45;0.77;0.06;-0.95;0.06
18;15.00;4064488.00;60.02;0.77;-0.19;-1.01;0.02
19;16.00;4150584.00;66.34;0.89;-0.05;-0.89;0.03
20;17.00;4236700.00;74.29;1.06;-0.22;-1.23;0.07
21;18.00;4322804.00;82.33;1.22;-0.08;-0.96;0.01
22;19.00;4408908.00;90.80;1.30;0.13;-0.85;0.12
23;20.00;4495004.00;100.08;1.34;0.19;-0.75;0.05
24;21.00;4581096.00;107.51;1.42;0.23;-0.81;0.04
25;22.00;4667228.00;116.74;1.67;0.12;-1.15;0.07
26;23.00;4753316.00;128.10;1.83;-0.15;-1.17;0.03
27;24.00;4839416.00;137.81;2.07;0.04;-1.26;0.01
28;25.00;4925524.00;145.29;2.11;0.37;-0.69;0.05
29;26.00;5011604.00;154.77;2.24;0.17;-0.94;0.09
